Sl. No.,Species,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra","Other
River",Total,%
1,Rui,177,272,260,228,197,199,1898,3231,0.96
2,Catla,128,150,167,152,131,161,1142,2031,0.60
3,Mrigal,92,122,139,65,110,141,754,1423,0.42
4,Kalibaus,0,33,65,45,38,92,364,637,0.19
5,Bata,1221,102,0,0,13,0,283,1619,0.48
6,Ghania,0,17,0,0,0,0,18,35,0.01
7,Pangas,382,68,82,192,0,0,202,926,0.27
8,Boal/Air,303,14,313,210,284,422,1275,2953,0.88
9,Shol/Gazar/Taki,0,0,0,0,0,0,814,814,0.24
10,Koi,0,0,0,0,0,0,101,101,0.03
11,Shingi/Magur,0,0,0,0,0,0,95,95,0.03
12,Sarpunti,0,0,184,0,0,0,19,203,0.06
13,Cuchia,0,0,0,0,0,0,1746,1746,0.52
14,Other Inland Fish,3464,5317,3654,4728,4544,4705,30454,56866,16.87
15,Hilsa/Ilish,184192,1114,5998,610,687,321,57925,250847,74.42
16,Galda,331,147,73,24,21,73,269,938,0.28
17,Bagda,0,0,0,0,0,0,33,33,0.01
18,Harina,0,0,0,0,0,0,3034,3034,0.90
19,Chaka,0,0,0,0,,0,18,18,0.011
20,"Other small
shrimp/prawn",510,372,221,206,,800,6972,9501,2.82
Total,,190800,7860,11156,6460,,6914,107416,337051,100
