District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,6642,2348,10114,1038,1485,240,5004,5715,3585,6042,7200,3825
2,Barishal,9423,27465,10210,0,2,4,8000,10703,10996,8000,10705,11000
3,Bhola,1438,715,606,0,0,0,1906,1513,2395,1906,1513,2395
4,Jhallokati,518,1957,1988,0,66,79,1066,1024,1044,1066,1090,1123
5,Patuakhali,3967,4944,4939,0,0,0,2900,4045,4605,2900,4045,4605
6,Pirojpur,8676,3842,3849,356,357,378,4347,4377,4360,4703,4734,4738
1,Barishal Division,30664,41271,31706,1394,1910,701,23223,27377,26985,24617,29287,27686
7,Bandarban,2871,2839,2850,1600,1571,1584,2187,2166,2180,3787,3737,3764
8,Brahmanbaria,3071,2856,2879,75,107,86,9485,9732,9959,9560,9839,10045
9,Chandpur,1050,1054,1118,0,0,0,9393,9739,10044,9393,9739,10044
10,Chattogram,3000,2583,2575,528,640,710,16971,19164,20404,17499,19804,21114
11,Cumilla,2781,5878,5895,9755,0,0,13594,22529,23821,23349,22529,23821
12,Cox’s Bazar,243,1192,1448,764,1071,1141,5359,8579,8450,6123,9650,9591
13,Feni,1258,1569,1592,83,933,1119,4103,2729,6551,4186,3662,7670
14,Khagrachari,3871,4207,4110,6087,6169,6533,2806,2945,3110,8893,9114,9643
15,Lakshmipur,839,1923,1840,0,0,0,4186,1925,1831,4186,1925,1831
16,Noakhali,1000,730,760,0,0,0,6214,6616,8703,6214,6616,8703
17,Rangamati,3925,3748,3754,3451,3688,3770,2318,2437,2481,5769,6125,6251
2,"Chattogram
Division",23911,28579,28821,22343,14179,14943,76616,88561,97534,98959,"10274
0","11247
7"
18,Dhaka,534,533,551,728,690,692,5216,4986,5027,5944,5676,5719
19,Faridpur,254,1339,1355,8781,2259,2391,12659,5823,6226,21440,8082,8617
20,Gazipur,786,1796,2371,949,1004,1043,7561,7833,8002,8510,8837,9045
21,Gopalganj,730,1044,1056,47,240,246,7225,3591,3817,7272,3831,4063
22,Kishoreganj,449,644,798,199,234,235,9859,10184,10917,10058,10418,11152
23,Madaripur,572,1015,1044,144,365,516,5455,7055,8567,5599,7420,9083
24,Manikganj,990,2707,2701,927,1030,1049,4350,4474,4613,5277,5504,5662
25,Munshiganj,267,265,269,111,106,108,3125,3013,3116,3236,3119,3224
26,Narayanganj,82,80,80,104,168,166,2193,1733,1748,2297,1901,1914
27,Narsingdi,603,996,832,298,226,240,5555,4783,4789,5853,5009,5029
28,Rajbari,2120,2771,1776,2397,4307,3927,12411,12209,21608,14808,16516,25535
29,Shariatpur,3028,10042,1334,3842,168,224,289,5716,4884,4131,5884,5108
30,Tangail,1422,2204,2128,4298,4375,2904,14886,13961,14012,19184,18336,16916
3,Dhaka Division,11839,25436,16295,22825,15172,13741,90784,85361,97326,113609,100533,"11106
7"
31,Bagerhat,313,383,403,73,117,117,1662,1796,1870,1735,1913,1987
32,Chuadanga,905,914,893,5143,4480,5085,2081,1852,2056,7224,6332,7141
33,Jashore,3581,3653,3682,4551,4469,4647,5687,5111,5468,10238,9580,10115
34,Jhenaidah,1992,1768,1871,8121,7241,7451,11444,9874,10367,19565,17115,17818
35,Khulna,257,1336,2997,977,1209,736,7223,5902,4854,8200,7111,5590
36,Kushtia,2868,4450,3889,10585,13072,12392,30370,36258,45466,40955,49330,57858
37,Magura,280,529,517,3649,2529,2409,4660,4577,4394,8309,7106,6803
