District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,600,2219.08,2225.00,0,0,0.00,1265,1292.25,1246.68,1265,"1292.2
5","1246.6
8"
2,Barishal,569,535,813.00,0,0,0.00,569,698,957.00,569,698,957.00
3,Bhola,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4,Jhallokati,295,511,512.00,0,0,0.00,495,785,1185.48,495,785,"1185.4
8"
5,Patuakhali,808,1195.36,1244.00,0,0,0.00,3701,3620.1,3700.00,3710,"3620.1
0","3700.0
0"
6,Pirojpur,300,632,695.00,22,22.07,0.00,3948,4252.92,4167.00,3970,"4274.9
9","4167.0
0"
1,Barishal Division,2572,5092.44,5489.00,22,22.07,0.00,9978,"10648.2
7","11256.1
6",10000,"10670.
34","11256.
16"
7,Bandarban,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Brahmanbaria,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
9,Chandpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
10,Chattogram,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
11,Cumilla,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
12,Cox’s Bazar,0,0,2.48,0,0,0.00,0,0,77.98,0,0,77.98
13,Feni,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
14,Khagrachari,0,0,0.00,,0,0.00,0,0,0.00,0,0,0.00
15,Lakshmipur,0,0,0.00,00,0,0.00,0,0,0.00,0,0,0.00
16,Noakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
17,Rangamati,2,5.13,5.23,4,0,0.00,7,10,9.86,11,10,9.86
2,"Chattogram
Division",2,5.13,7.71,4,0,0.00,7,10,87.84,11,10,87.84
18,Dhaka,6,6.17,6.10,,0,0.00,31,128.12,122.96,111,128.12,122.96
19,Faridpur,80,167,168.00,80,88.26,56.36,310,2101.94,2128.60,680,2190.2,"2184.9
6"
20,Gazipur,60,196,189.00,370,0,0.00,85,312,304.00,185,312,304.00
21,Gopalganj,70,117.76,120.90,100,0,0.00,243,1719.72,1820.10,493,"1719.7
2","1820.1
0"
22,Kishoreganj,8,7.14,4.85,250,0,0.00,79,75.94,17.92,99,75.94,17.92
23,Madaripur,2050,420,432.80,20,14.67,0.00,55,4286.12,4932.40,107,"4300.7
9","4932.4
0"
24,Manikganj,45,45.86,41.11,52,0,0.00,94,195,192.81,189,195,192.81
25,Munshiganj,4,356,3.54,95,0,0.00,20,19.45,21.82,20,19.45,21.82
26,Narayanganj,5,4,3.19,0,0,0.00,34,31.8,39.72,34,31.8,39.72
27,Narsingdi,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
28,Rajbari,70,106.43,106.44,0,0,0.00,627,1442,1367.00,1167,1442,"1367.0
0"
29,Shariatpur,95,224.02,211.40,540,0,0.00,142,1332,1456.00,342,1332,"1456.0
0"
30,Tangail,0,0,1.55,200,0,0.00,0,0,7.56,0,0,7.56
3,Dhaka Division,2493,1650.38,1288.88,1707,102.93,56.36,1720,"11644.0
9","12410.8
9",3427,"11747.
02","12467.
25"
31,Bagerhat,69,135.92,131.01,1707,0,0.00,3508,3227,3112.37,3508,3227,"3112.3
7"
32,Chuadanga,36,34.41,33.80,0,27.47,36.02,421,872.53,1110.98,447,900,"1147.0
0"
33,Jashore,100,155.56,162.78,26,81.04,76.53,1454,2740.96,2811.04,1502,2822,2887.5
