District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,1476,2215,2215.35,0,0,0.00,821,834,834.00,821,834,834.00
2,Barishal,1593,823,822.18,0,0,0.00,1950,2000,1978.00,1950,2000,"1978.0
0"
3,Bhola,1070,1020,283.10,0,0,0.00,959,1082,1139.00,959,1082,"1139.0
0"
4,Jhallokati,975,800,414.52,0,0,0.00,887,844,799.00,887,844,799.00
5,Patuakhali,1888,751,750.97,0,0,0.00,2595,2648,568.60,2595,2648,568.60
6,Pirojpur,2177,2169,"21692.4
0",0,0,0.00,2450,2359,2359.00,2450,2359,"2359.0
0"
1,Barishal Division,9180,7778,"26178.5
2",0,0,0.00,9662,9767,7677.60,9662,9767,"7677.6
0"
7,Bandarban,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Brahmanbaria,50,42,41.24,0,0,0.00,112,105,109.95,112,105,109.95
9,Chandpur,1416,1266,237.59,0,0,0.00,3948,3966,3960.53,3948,3966,"3960.5
3"
10,Chattogram,1029,831,263.30,0,0,0.00,2862,2934,2861.97,2862,2934,"2861.9
7"
11,Cumilla,443,934,399.61,0,12,415.00,586,499,96.00,600,511,511.00
12,Cox’s Bazar,72,80,8.40,0,0,0.00,343,338,312.10,343,338,312.10
13,Feni,866,600,1049.58,0,0,50.00,1092,1942,1050.17,1094,1942,"1100.1
7"
14,Khagrachari,109,110,91.64,0,0,0.00,414,378,360.56,414,378,360.56
15,Lakshmipur,1521,1350,222.14,395,262,1000.00,3789,3278,920.12,4184,3540,"1920.1
2"
16,Noakhali,703,625,149.94,0,0,0.00,1593,1511,1226.91,1593,1511,"1226.9
1"
17,Rangamati,236,232,233.67,23,0,0.00,270,298,279.70,293,298,279.70
2,"Chattogram
Division",6445,6070,2697.11,434,274,1465.00,15009,15249,"11178.0
1",15443,15523,"12643.
01"
18,Dhaka,79,100,10.70,0,0,0.00,69,236,235.34,69,236,235.34
19,Faridpur,2273,2250,469.00,396,378,372.85,3913,3845,3643.47,4309,4223,"4016.3
2"
20,Gazipur,535,525,156.00,77,73,68.96,1335,1241,1240.03,1412,1314,"1308.9
9"
