District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,2384,2459,4785,0,0,0,15264,5070,5823,15264,5070,5823
2,Barishal,1241,1246,1589,0,0,0,8308,7250,11270,8308,7250,11270
3,Bhola,365,159,154,0,0,0,4022,2734,2574,4022,2734,2574
4,Jhallokati,363,366,424,0,0,0,1294,1343,1343,1294,1343,1343
5,Patuakhali,1107,1499,532,0,0,0,2958,2448,2766,2958,2448,2766
6,Pirojpur,602,472,467,0,0,0,6099,4553,4616,6099,4553,4616
1,Barishal Division,6062,6201,7951,0,0,0,37945,23398,28392,37945,23398,28392
7,Bandarban,3,9,9,0,0,0,56,51,52,56,51,52
8,Brahmanbaria,1010,6000,68,0,0,0,760,488,485,760,488,485
9,Chandpur,3490,3000,206,0,0,0,4571,7794,6314,4571,7794,6314
10,Chattogram,3684,2000,178,0,0,0,3091,2478,2497,3091,2478,2497
11,Cumilla,4489,807,679,1054,83,61,1149,6665,6504,2203,6748,6565
12,Cox’s Bazar,170,101,49,0,0,0,1903,692,692,1903,692,692
13,Feni,292,158,162,0,0,0,1886,1437,1463,1886,1437,1463
14,Khagrachari,22,24,24,0,0,0,112,133,145,112,133,145
15,Lakshmipur,30,52,58,0,0,0,7257,2742,2985,7257,2742,2985
16,Noakhali,400,264,260,0,0,0,3726,8078,9162,3726,8078,9162
17,Rangamati,200,94,85,0,0,0,308,280,285,308,280,285
2,"Chattogram
Division",13790,12509,1778,1054,83,61,24819,30838,30584,25873,30921,30645
18,Dhaka,22,22,22,0,0,0,746,768,747,746,768,747
19,Faridpur,9925,7000,249,108,485,544,8330,6971,7200,8438,7456,7744
20,Gazipur,2416,2000,179,144,105,103,1797,1347,1254,1941,1452,1357
21,Gopalganj,549,408,386,0,0,0,6994,5639,4648,6994,5639,4648
22,Kishoreganj,32,32,30,0,0,0,538,628,589,538,628,589
23,Madaripur,3884,369,360,0,0,0,7372,8140,7796,7372,8140,7796
24,Manikganj,700,500,64,0,0,0,1566,581,599,1566,581,599
25,Munshiganj,14,14,14,0,0,0,289,304,297,289,304,297
26,Narayanganj,8,9,9,0,0,0,398,403,384,398,403,384
27,Narsingdi,56,41,53,0,0,0,1276,1394,1194,1276,1394,1194
28,Rajbari,2486,2000,62,270,49,81,3114,1519,2659,3384,1568,2740
29,Shariatpur,35623,42000,172,0,60,59,570,931,1303,570,991,1362
30,Tangail,2021,2000,76,89,41,45,3476,1613,1726,3565,1654,1771
3,Dhaka Division,57736,56395,1676,611,740,832,36466,30238,30396,37077,30978,31228
31,Bagerhat,129,127,128,0,56,65,2808,2501,3001,2808,2557,3066
32,Chuadanga,15,22,22,7,6,7,403,418,436,410,424,443
33,Jashore,246,249,254,107,107,106,2061,2036,2081,2168,2143,2187
34,Jhenaidah,167,131,150,0,0,0,2188,2311,2445,2188,2311,2445
35,Khulna,0,125,141,0,0,0,1663,1571,1574,1663,1571,1574
36,Kushtia,82,82,104,0,0,0,1764,1809,2027,1764,1809,2027
37,Magura,109,196,112,0,0,0,2131,7523,2056,2131,7523,2056
38,Meherpur,32,36,35,0,0,0,204,211,222,204,211,222
39,Narail,202,202,202,67,0,0,1146,1185,1213,1213,1185,1213
