District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,433,302,279.00,0,0,0.00,818.34,271.84,274.20,818.34,271.84,274.20
2,Barishal,331,105,72.00,0,0,0.00,728.66,560.54,319.32,728.66,560.54,319.32
3,Bhola,291,53.37,35.00,0,0,0.00,1872.1,286.70,297.43,1872.1,286.70,297.43
4,Jhallokati,2057,2003,1995.00,0,0,0.00,7269.78,3065.97,3167.35,7269.78,"3065.9
7","3167.3
5"
5,Patuakhali,377,301.76,300.00,0,0,0.00,431.59,420.38,461.01,431.59,420.38,461.01
6,Pirojpur,129,87,83.00,0,0,0.00,375.54,140.13,125.13,375.54,140.13,125.13
1,Barishal Division,3618,2852.32,2764.00,0,0,0.00,11496.01,4745.56,4644.44,11496.01,"4745.5
6","4644.4
4"
7,Bandarban,132,69.40,69.89,11.21,9.43,11.09,173.76,183.33,188.52,184.97,192.76,199.61
8,Brahmanbaria,260,24.71,29.04,0,0,0.00,235.41,250.83,220.22,235.41,250.83,220.22
9,Chandpur,313,42.00,42.52,0,0,0.00,302.67,276.05,306.54,302.67,276.05,306.54
10,Chattogram,559,41.07,40.77,0,0,0.00,1703.94,481.20,462.77,1703.94,481.20,462.77
11,Cumilla,276,126.74,114.08,39.24,88.51,680.79,2253.24,774.11,1590.43,2292.48,862.62,"2271.2
2"
12,Cox’s Bazar,250,13.30,13.73,0,0,0.00,140.13,177.80,184.12,140.13,177.80,184.12
13,Feni,195,30.11,30.70,0,0,0.00,184.97,56.78,65.37,184.97,56.78,65.37
14,Khagrachari,372,38.84,37.00,0,0,0.00,67.26,64.68,67.54,67.26,64.68,67.54
15,Lakshmipur,275,119.12,99.87,0,0,0.00,874.39,280.26,319.48,874.39,280.26,319.48
16,Noakhali,250,30.66,30.93,0,0,0.00,431.59,111.82,148.41,431.59,111.82,148.41
17,Rangamati,823,624.13,626.56,0,87.65,156.58,1485.35,1413.01,1296.48,1485.35,"1500.6
6","1453.0
6"
2,"Chattogram
Division",3705,1160.08,1135.09,50.45,185.59,848.46,7852.71,4069.87,4849.88,7903.16,"4255.4
6","5698.3
4"
18,Dhaka,152,27,28.54,0,0,0.00,190.57,162.56,173.47,190.57,162.56,173.47
19,Faridpur,396,103,100.00,0,0,0.00,728.66,737.07,706.91,728.66,737.07,706.91
20,Gazipur,322,136,134.00,0,0,0.00,431.59,431.59,431.60,431.59,431.59,431.60
21,Gopalganj,385,86,85.90,0,0,0.00,952.86,448.41,505.07,952.86,448.41,505.07
22,Kishoreganj,215,125.14,111.23,0,0,0.00,773.5,790.32,805.84,773.5,790.32,805.84
23,Madaripur,287,71.49,72.14,0,0,0.00,201.78,582.93,563.30,201.78,582.93,563.30
24,Manikganj,275,40.94,32.17,0,0,0.00,184.97,184.97,188.10,184.97,184.97,188.10
25,Munshiganj,224,5.77,5.98,0,0,0.00,95.29,89.68,97.30,95.29,89.68,97.30
26,Narayanganj,222,8.27,6.97,0,0,0.00,33.63,28.03,22.42,33.63,28.03,22.42
27,Narsingdi,210,47.25,47.87,0,0,0.00,510.06,510.06,735.10,510.06,510.06,735.10
28,Rajbari,260,148.51,141.51,0,92.82,64.17,358.72,337.09,343.31,358.72,429.91,407.48
29,Shariatpur,392,80.18,98.03,0,0,0.00,381.15,644.58,724.17,381.15,644.58,724.17
30,Tangail,536,75.86,72.39,0,0,0.00,1182.67,1199.49,1000.61,1182.67,"1199.4
9","1000.6
1"
3,Dhaka Division,3876,955.41,936.73,0,92.82,64.17,6025.45,6146.78,6297.20,6025.45,"6239.6
0","6361.3
7"
31,Bagerhat,216,28.90,29.81,0,0,0.00,538.09,246.62,240.73,538.09,246.62,240.73
32,Chuadanga,205,66.15,65.50,0,0,0.00,734.27,638.98,631.63,734.27,638.98,631.63
33,Jashore,412,204.53,176.68,0,0,0.00,936.05,936.05,942.54,936.05,936.05,942.54
34,Jhenaidah,193,51.35,49.63,0,0,0.00,1025.73,403.57,371.61,1025.73,403.57,371.61
35,Khulna,169,10.58,10.73,0,0,0.00,336.3,89.68,91.41,336.3,89.68,91.41
36,Kushtia,144,29.00,29.00,0,0,0.00,1008.91,470.83,442.80,1008.91,470.83,442.80
37,Magura,198,34.60,34.39,0,0,0.00,605.35,610.95,541.16,605.35,610.95,541.16
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
38,Meherpur,149,50.30,41.10,0,0,0.00,235.41,224.20,158.80,235.41,224.20,158.80
39,Narail,375,316.14,309.69,0,0,0.00,857.58,784.71,774.79,857.58,784.71,774.79
40,Satkhira,255,137.13,138.01,0,0,0.00,297.07,437.20,376.21,297.07,437.20,376.21
4,Khulna Division,2317,928.68,884.54,0,0,0.00,6574.76,4842.79,4571.68,6574.76,"4842.7
9","4571.6
8"
41,Jamalpur,455,289,297.00,0,0,0.00,1451.71,1003.31,1285.64,1451.71,"1003.3
1","1285.6
4"
42,Mymensingh,511,536,490.00,0,0,0.00,1149.04,257.83,539.68,1149.04,257.83,539.68
43,Netrokona,250,222.57,224.00,0,0,0.00,1294.77,229.81,262.12,1294.77,229.81,262.12
44,Sherpur,311,269.48,121.00,0,0,0.00,1429.29,532.48,457.72,1429.29,532.48,457.72
5,"Mymensingh
Division",1527,1317.05,1132.00,0,0,0.00,5324.81,2023.43,2545.16,5324.81,"2023.4
3","2545.1
6"
45,Bogura,301,158.54,153.00,0,0,0.00,1625.47,898.05,917.70,1625.47,898.05,917.70
46,Joypurhat,273,35.80,49.00,0,0,0.00,1126.62,694.92,645.73,1126.62,694.92,645.73
47,Naogaon,252,100.46,28.00,0,0,0.00,1300.38,574.63,455.02,1300.38,574.63,455.02
48,Natore,263,58.90,57.00,0,0,0.00,1317.19,758.93,798.38,1317.19,758.93,798.38
49,Chapai Nawabganj,152,30.51,32.00,0,0,0.00,173.76,187.88,205.61,173.76,187.88,205.61
50,Pabna,285,65.08,73.00,0,0,0.00,807.13,805.72,782.35,1585,805.72,782.35
51,Rajshahi,172,43.72,43.00,0,0,0.00,274.65,129.20,119.89,274.65,129.20,119.89
52,Sirajganj,223,29.49,29.00,0,0,0.00,672.61,644.58,615.68,672.61,644.58,615.68
6,Rajshahi Division,1921,522.50,464.00,0,0,0.00,7297.81,4693.91,4540.36,7297.81,"4693.9
1","4540.3
6"
53,Dinajpur,227,73,72.00,0,0,0.00,1098.59,1143.44,1097.16,1098.59,"1143.4
4","1097.1
6"
54,Gaibandha,110,26.83,29.32,0,0,0.00,358.72,189.45,195.67,358.72,189.45,195.67
55,Kurigram,182,29.31,42.71,0,0,0.00,493.25,500.03,468.00,493.25,500.03,468.00
56,Lalmonirhat,206,72.14,63.91,0,0,0.00,689.42,615.66,543.56,689.42,615.66,543.56
57,Nilphamari,155,23.47,23.60,0,0,0.00,650.19,290.86,343.57,650.19,290.86,343.57
58,Panchagar,112,16.01,24.47,0,0,0.00,145.73,140.13,135.03,145.73,140.13,135.03
59,Rangpur,147,12.13,10.85,0,0,0.00,168.15,161.99,156.51,168.15,161.99,156.51
60,Thakurgaon,98,2.37,2.39,0,0,0.00,16.82,18.55,23.83,16.82,18.55,23.83
7,Rangpur Divison,1236,255.26,269.25,0,0,0.00,3620.87,3060.11,2963.33,3620.87,"3060.1
1","2963.3
3"
61,Habiganj,153,79.17,78.17,0,0,0.00,291.46,122.36,139.62,291.46,122.36,139.62
62,Moulvibazar,138,221.36,222.05,0,0,0.00,106.5,19.73,18.60,106.5,19.73,18.60
63,Sunamganj,132,134,102.12,16.82,14.18,88.33,16.82,9.91,45.43,33.64,24.09,133.76
64,Sylhet,109,4,0.54,0,0,0.00,16.82,16.82,1.73,16.82,16.82,1.73
8,Sylhet Division,532,438.53,402.88,16.82,14.18,88.33,431.60,168.82,205.38,448.42,183,293.71
BANGLADESH,,18732,8429.83,7988.49,67.27,292.59,1000.96,48624.02,29751.27,30617.43,48691.29,30043.86,31618.39
