District name,Mar-2022,,,,,,,
,With Food,,,,,,"Without Food (in
TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,407,271
Khagrachari,450,300,-,-,-,-,458,325
Rangamati,371,258,307,225,-,-,479,322
Chattogram,543,393,512,339,487,346,580,412
Cox’sbazar,588,407,551,355,538,315,644,489
Cumilla,549,398,476,340,558,420,514,335
Chandpur,-,-,-,-,-,-,481,-
Brahmmanbaria,375,270,319,233,321,227,399,319
Noakhali,531,-,500,-,525,-,542,-
Lakshmipur,-,-,-,-,-,-,415,-
Feni,607,-,-,-,-,-,647,-
"Chattogram
Division",502,338,444,298,486,327,506,353
Sylhet,425,350,408,-,375,-,462,300
Maulavi Bazar,418,325,400,276,-,-,464,334
Sunamganj,355,300,-,-,-,-,406,340
Habiganj,425,350,-,-,-,-,422,317
Sylhet Division,406,331,404,276,375,-,439,323
Dhaka,417,250,428,200,400,260,507,300
Gazipur,500,300,-,-,512,425,610,352
Manikganj,530,400,526,380,434,300,581,474
Munshiganj,500,-,-,-,506,-,545,350
Narayanganj,500,400,430,388,400,350,596,450
Narsingdi,-,-,469,-,532,-,524,-
Faridpur,571,-,-,-,550,-,590,-
Rajbari,506,375,-,-,440,370,560,450
Madaripur,413,300,400,-,500,-,449,343
Gopalganj,375,-,-,-,417,-,500,300
Shariatpur,420,350,383,250,350,-,533,425
Tangail,500,380,480,330,445,280,525,390
Kishoreganj,-,-,472,250,455,-,495,300
Dhaka Division,476,344,449,300,457,331,540,376
Mymensing,454,353,489,377,525,400,499,450
Jamalpur,436,-,427,-,454,-,500,-
Sherpur,453,-,460,-,517,-,504,-
Netrokona,440,300,430,310,-,-,500,390
"Mymensing
Division",446,327,452,344,499,400,501,420
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,483,370,400,-,-,-,4978497,420
Jhalokathi,551,463,-,-,-,-,619,496
Perojpur,550,-,500,-,-,-,700,-
Bhola,505,-,442,-,-,-,560,390
Patuakhali,550,-,500,-,-,-,700,-
Barguna,604,363,635,387,-,-,572,338
"Barishal
Division",541,399,495,387,-,-,608,411
Jashore,-,-,-,-,-,-,342,243
Jhenaidah,320,237,309,226,292,210,342,253
Magura,360,-,323,-,284,-,397,-
Narail,403,-,300,-,325,-,416,342
Khulna,-,-,-,-,-,-,471,359
Bagerhat,-,-,416,300,441,-,452,320
Satkhira,-,-,-,-,-,-,367,311
Kushtia,425,350,-,-,-,-,475,400
Chuadanga,275,-,-,-,-,-,300,-
Meherpur,360,-,-,-,-,-,400,-
Khulna Division,357,294,337,263,336,210,396,318
Rajshahi,425,320,372,325,415,390,429,354
Naogaon,403,302,205,277,307,265,389,325
Natore,350,295,400,-,-,-,396,283
"Chapai
Nawabganj",450,400,430,350,420,325,475,430
Bogura,411,-,425,-,400,-,450,350
Joypurhat,440,350,430,430,-,-,460,425
Pabna,550,-,-,-,-,-,582,360
Sirajganj,-,-,-,-,-,-,378,345
"Rajshahi
Division",433,327,377,346,386,327,445,359
Rangpur,380,295,-,-,-,-,355,265
Gaibandha,-,-,-,-,-,-,334,283
Kurigram,354,215,-,-,-,-,366,235
Nilphamari,393,245,-,-,-,-,367,222
Lalmonirhat,355,240,395,277,-,-,348,258
Dinajpur,358,282,-,-,-,-,415,328
Thakurgaon,340,275,-,-,-,-,360,284
Panchagar,363,265,-,-,-,-,386,286
"Rangpur
Division",363,260,395,277,-,-,366,270
BANGLADESH,445,325,426,310,437,326,476,346
