Crop,,2019-20,,,,2020-21,,,,,,2021-22,,,,
,,"Area '000
Acres","P' er acre
Yield
(Kg)","Production
'000'M.
Tons",,"Area
'000'
Acres",,"Per acre
Yield
(Kg)",,"Production
'000'M.
Tons",,"Area
'000'
Acres","Per acre
Yield (Kg)",,"Production
'000'M. Tons",
MAJOR CEREALS,,,,,,,,,,,,,,,,
Rice,,,,,,,,,,,,,,,,
AUS,Local,3252,497,,162,,265,,524,,139,249,,528,,131
,HYV,2381,1089,,2594,,2960,,1062,,3146,2615,,1096,,2869
Total Aus,,2706,1018,,2755,,3225,,1018,,3285,2864,,1047,,3000
AMAN,Broadcast,574,458,,263,,582,,483,,281,614,,442,,272
,T. Local,2071,495,,1232,,1958,,625,,1223,1786,,620,,1108
,HYV,11094,1145,,12708,,11319,,1142,,12934,11732,,1157,,13578
TotalAman,,13739,1034,,14203,,13859,,1042,,14438,14132,,1058,,14958
BORO,Local,82,754,,61,,77,,724,,56,61,,743,,45
,HYV,9496,1627,,15458,,9298,,1635,,15202,9028,,1642,,14823
,Hybrid,2189,1885,,4127,,2453,,1885,,4627,2807,,1894,,5317
Total Boro,,11768,1669,,19645,,11828,,1681,,19885,11895,,1697,,20186
Total Rice,,28213,1297,,36604,,28912,,1301,,37608,28891,,7320,,38144
Wheat,,821,1253,,1029,,813,,1335,,1085,778,,1395,,1086
Total Major Cereals,,29034,1297,,37633,,29725,,1301,,38693,29669,,1320,,39230
MINOR CEREALS,,,,,,,,,,,,,,,,
Barley/Jab,,0.362,343.81,,0.124,,0.462,,.378,,0.174,0.4531,,380.53,,0.17242
Jower,,0.164,470,,0.077,,0.134,,.470,,0.063,.1647,,0.485,,0.08001
Maize,,1168,3438,,4016,,1186,,3471,,4116,1182,,3605,,4262
"Cheena &
Kaon",,1,357.49,,0.465,,02,,473,,01,02,,428,,01
Binnidana,,0.009,531.87,,0.004,,0.022,,485,,0.010,0.01865,,551,,0.01029
Total Minor Cereals,,1168,1379,,4016,,1188,,3466,,4118,1184,,360,,4263
"Total Cereals
(Major+minor)",,30202,1379,,41648,,30913,,1385,,42811,30853,,1409,,43493
Gram,,11,431.71,,5,,11,,442,,05,11,,452.42,,05
Arhar,,1,415.42,,0.459,,01,,428,,.474,01,,424.11,,0.45442
Masur,,349,508,,177,,361,,514,,186,357,,534.38,,191
Motor,,21,426,,9,,19,,435,,08,18,,444.94,,08
Mung,,109,341,,37,,109,,376,,41,114,,364.75,,42
Mashkalai,,90,379.74,,34,,100,,372,,37,102,,381.58,,39
Khesari,,272,439,,120,,286,,456,,131,291,,453.45,,132
Fallon,,27,549,,15,,30,,531,,16,31,,503.81,,15
Garikalai-,,2,326,,1,,01,,304,,.433,01,,303.22,,0.37387
Total Pulses,,882,451,,398,,919,,462,,425,926,,3862.66,,432
