District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,73,184.14,183.44,0,0,0.00,48,97.68,53.68,48,97.68,53.68
2,Barishal,223,150.18,150.53,0,0,0.00,355,358,345.00,355,358,345.00
3,Bhola,101,34.10,36.48,0,0,0.00,89,105.64,132.30,89,105.64,132.30
4,Jhallokati,195,193,197.00,0,0,0.00,191,184,190.00,191,184,190.00
5,Patuakhali,136,72,104.00,0,0,0.00,103,97,105.00,103,97,105.00
6,Pirojpur,66,15.20,15.10,0,0,0.00,82,61.63,62.01,82,61.63,62.01
1,Barishal Division,794,648.62,686.55,0,0,0.00,868,903.95,887.99,868,903.95,887.99
7,Bandarban,60,139,140.00,27,27.54,27.88,174,181.46,186.12,201,209,214.00
8,Brahmanbaria,77,58,58.23,0,0,0.00,237,238.80,239.16,237,238.80,239.16
9,Chandpur,172,51.50,67.87,0,0,0.00,302,321.31,310.18,302,321.31,310.18
10,Chattogram,179,50.01,61.59,0,0,0.00,560,568.90,552.18,560,568.90,552.18
11,Cumilla,309,287.55,289.94,0,0,0.00,855,822.38,827.95,855,822.38,827.95
12,Cox’s Bazar,87,16.12,20.13,0,0,0.00,280,282.62,269.00,280,282.62,269.00
13,Feni,132,53,53.73,0,0,0.00,195,204.11,196.35,195,204.11,196.35
14,Khagrachari,101,78,76.21,0,0,0.00,257,258,240.24,257,258,240.24
15,Lakshmipur,275,445,152.00,0,0,0.00,333,336,433.00,333,336,433.00
16,Noakhali,171,45.77,37.22,0,0,0.00,170,223,256.94,170,223,256.94
17,Rangamati,200,195,196.24,10,9.88,9.29,464,473.12,465.01,474,483,474.30
2,"Chattogram
Division",1763,1418.85,1153.16,37,37.42,37.17,3827,3909.70,3976.13,3864,3947.12,4013.30
18,Dhaka,66,13.15,14.21,0,0,0.00,192,186.54,182.98,192,186.54,182.98
19,Faridpur,58,18,1.40,0,0,0.00,45,67.11,7.11,45,67.11,7.11
20,Gazipur,95,57,63.00,11,0,0.00,242,165.70,275.00,253,165.70,275.00
21,Gopalganj,124,30.55,33.03,0,0,0.00,61,75.54,60.16,61,75.54,60.16
22,Kishoreganj,124,67.99,55.19,0,0,0.00,396,303.32,417.89,396,303.32,417.89
23,Madaripur,34,8.61,9.38,15,0,0.00,17,55.20,64.96,32,55.20,64.96
