District name,Sep-2022,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,550,379
Khagrachari,450,300,0,0,0,0,473,379
Rangamati,396,279,313,231,0,0,485,325
Chattogram,578,426,499,360,500,354,621,459
Cox’sbazar,525,374,586,342,550,294,670,438
Cumilla,581,443,496,386,567,442,538,460
Chandpur,0,0,0,0,0,0,600,0
Brahmmanbaria,41,325,385,0,400,350,474,430
Noakhali,551,0,600,0,525,0,624,0
Lakshmipur,0,0,0,0,0,0,486,0
Feni,0,0,523,0,480,0,586,0
"Chattogram
Division",499,358,486,330,504,360,555,410
Sylhet,430,325,424,0,400,0,457,350
Maulavi Bazar,402,335,400,276,0,0,463,363
Sunamganj,367,281,0,0,0,0,418,326
Habiganj,475,300,0,0,0,0,428,325
Sylhet Division,419,310,412,276,400,0,442,341
Dhaka,483,400,500,350,500,350,560,450
Gazipur,475,320,0,0,540,415,641,460
Manikganj,515,400,500,366,440,350,558,350
Munshiganj,0,0,0,0,459,0,506,566
Narayanganj,650,550,575,493,500,500,670,0
Narsingdi,0,0,504,0,488,0,538,325
Faridpur,579,300,0,0,500,0,622,475
Rajbari,644,440,600,400,575,0,720,408
Madaripur,354,300,320,0,360,0,453,400
Gopalganj,500,0,400,350,471,300,518,450
Shariatpur,440,390,400,325,350,0,542,470
Tangail,560,290,500,240,490,200,600,0
Kishoreganj,500,0,531,0,512,0,554,
"Dhaka
Division",518,377,483,360,476,353,576,432
Mymensing,513,413,511,393,539,420,537,472
Jamalpur,450,0,492,0,476,0,540,0
Sherpur,464,0,495,0,520,0,526,0
Netrokona,493,308,388,304,0,0,451,356
"Mymensing
Division",480,361,472,349,512,420,514,429
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,491,0,450,0,0,0,512,0
Jhalokathi,588,0,0,0,0,0,648,400
Perojpur,553,0,530,440,440,440,609,450
Bhola,512,0,446,0,0,0,584,398
Patuakhali,550,0,500,0,0,0,650,0
Barguna,658,407,690,430,0,0,632,385
"Barishal
Division",559,407,523,435,440,380,606,408
Jashore,0,0,0,0,0,0,363,250
Jhenaidah,363,271,351,249,343,224,384,307
Magura,494,0,339,0,436,0,533,0
Narail,436,0,0,0,392,0,464,393
Khulna,0,0,0,0,0,0,460,342
Bagerhat,600,0,473,0,488,0,510,288
Satkhira,0,0,0,0,0,0,383,321
Kushtia,467,400,0,0,0,0,525,450
Chuadanga,323,0,0,0,0,0,375,0
Meherpur,415,0,0,0,0,0,458,0
Khulna Division,443,336,388,249,415,224,446,336
Rajshahi,461,383,469,388,0,0,469,393
Naogaon,439,344,375,325,0,0,413,356
Natore,399,333,465,333,0,0,435,336
"Chapai
Nawabganj",490,400,452,400,0,0,500,350
Bogura,425,0,421,0,0,0,471,350
Joypurhat,490,330,492,354,0,0,520,340
Pabna,520,350,0,0,0,0,492,380
Sirajganj,0,0,0,0,0,0,418,350
"Rajshahi
Division",461,357,446,360,0,0,465,357
Rangpur,385,265,0,0,0,0,400,300
Gaibandha,0,0,0,0,0,0,366,250
Kurigram,315,220,0,0,0,0,369,240
Nilphamari,370,245,0,0,0,0,398,275
Lalmonirhat,365,282,350,350,0,0,381,310
Dinajpur,372,297,0,0,0,0,423,334
Thakurgaon,425,316,0,0,0,0,420,320
Panchagar,344,268,0,0,0,0,368,288
"Rangpur
Division",368,289,350,272,0,0,391,290
BANGLADESH,468,349,445,329,458,347,499,375
