District name,Feb-2022,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,400,264
Khagrachari,450,297,-,-,-,-,455,300
Rangamati,371,258,307,225,-,-,479,322
Chattogram,564,423,522,371,481,359,589,425
Cox’sbazar,588,407,551,355,538,315,644,489
Cumilla,475,385,465,317,419,330,517,400
Chandpur,-,-,-,-,-,-,481,-
Brahmmanbaria,413,325,400,-,312,226,431,338
Noakhali,534,-,450,-,525,-,619,-
Lakshmipur,-,-,-,-,-,-,405,-
-Feni,570,-,-,-,-,-,623,-
"Chattogram
Division",496,349,449,317,455,308,413,363
Sylhet,425,350,408,-,300,-,460,375
Maulavi Bazar,380,276,400,276,-,-,430,306
Sunamganj,352,296,-,-,-,-,403,340
Habiganj,413,350,-,-,-,-,411,308
Sylhet Division,393,318,404,276,300,-,426,332
Dhaka,491,400,463,350,475,350,532,450
Gazipur,500,350,490,309,474,300,554,394
Manikganj,500,350,490,309,474,300,554,394
Munshiganj,450,300,-,-,490,-,512,350
Narayanganj,500,375,430,363,375,350,524,425
Narsingdi,522,-,462,-,486,-,510,-
Faridpur,458,-,-,-,450,-,500,-
Rajbari,433,420,-,-,435,370,540,500
Madaripur,427,330,400,-,500,-,457,340
Gopalganj,475,-,-,-,433,-,500,350
Shariatpur,420,350,383,300,350,-,533,425
Tangail,525,410,495,360,475,310,585,480
Kishoreganj,-,-,497,-,471,-,508,300
"Dhaka
Division",475,365,457,332,453,330,524,401
Mymensing,465,380,498,378,540,415,522,444
Jamalpur,432,-,412,-,425,-,509,-
Sherpur,463,-,483,-,525,-,516,-
Netrokona,465,267,456,304,-,-,514,383
"Mymensing
Division",456,324,462,341,497,415,515,414
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,555,425,530,355,-,-,565,420
Jhalokathi,513,448,-,-,-,-,591,488
Perojpur,498,-,498,380,410,350,560,-
Bhola,505,-,440,-,-,-,560,390
Patuakhali,550,-,500,-,-,-,600,-
Barguna,590,347,623,372,-,-,567,338
"Barishal
Division",535,407,518,369,410,350,574,409
Jashore,-,-,-,-,-,-,358,252
Jhenaidah,350,249,338,238,320,222,372,264
Magura,400,-,362,-,324,-,436,-
Narail,365,-,-,-,364,-,429,342
Khulna,-,-,-,-,-,-,465,365
Bagerhat,-,-,416,300,461,-,447,336
Satkhira,-,-,-,-,-,-,360,305
Kushtia,388,350,-,-,-,-,450,400
Chuadanga,300,-,-,-,-,-,313,-
Meherpur,377,-,-,-,-,-,417,-
Khulna Division,363,300,372,269,367,222,405,323
Rajshahi,416,340,392,325,415,340,444,379
Naogaon,378,304,203,350,345,225,398,281
Natore,319,273,416,-,-,-,376,267
"Chapai
Nawabganj",379,400,450,400,450,400,348,318
Bogura,437,300,423,-,440,-,422,-
Joypurhat,300,250,490,435,-,-,415,380
Pabna,508,375,-,-,-,-,488,313
Sirajganj,-,-,-,-,-,-,411,300
"Rajshahi
Division",391,318,388,356,403,297,403,320
Rangpur,360,260,-,-,-,-,395,290
Gaibandha,-,-,-,-,-,-,359,283
Kurigram,376,215,-,-,-,-,373,238
Nilphamari,403,239,-,-,-,-,375,262
Lalmonirhat,367,257,355,285,-,-,413,243
Dinajpur,378,295,-,-,-,-,420,335
Thakurgaon,340,258,-,-,-,-,360,274
Panchagar,363,286,-,-,-,-,386,265
"Rangpur
Division",370,259,355,285,-,-,385,274
BANGLADESH,440,329,442,333,435,323,470,349
