District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,6116,8120,8120.11,0,380,298.72,9133,10373,6921.28,9133,10753,7220
2,Barishal,13397,11243,9043.00,0,0,0,14086,14286,18592,14086,14286,18592
3,Bhola,13168,12771,"12734.8
0",1543,1556,1363.57,27615,28239,"24059.4
3",29158,29795,25423
4,Jhallokati,3323,3287,3169.00,0,0,0,7094,7217,6561,7094,7217,6561
5,Patuakhali,1886,1887,1887.00,0,0,0,11370,11673,11411,11370,11673,11411
6,Pirojpur,3219,3263,3262.70,3405,2751,2761.7,19353,19987,19976.3,22758,22738,22738
1,Barishal Division,41109,40571,"38216.6
1",4948,4687,4423.99,88651,91775,"87521.0
1",93599,96462,91945
7,Bandarban,387,621,622.00,464,7,466.81,627,1085,629.19,1091,1092,1096
8,Brahmanbaria,1541,1045,554.06,0,0,0,5298,5299,5167.39,5298,5299,5167.39
9,Chandpur,3067,1550,431.93,0,0,0,11411,11414,"10184.1
5",11411,11414,"10184.1
5"
10,Chattogram,4232,2938,2449.58,1021,1021,892.5,7029,7030,6046.22,8050,8051,6938.72
11,Cumilla,3240,2343,1278.00,2475,2475,1861.47,4507,4508,454,6982,6983,2315.47
12,Cox’s Bazar,1861,900,377.59,5153,3737,4541.81,8274,6022,7405.96,13427,9759,"11947.7
7"
13,Feni,910,962,961.53,102,102,25.13,2212,2213,2197.3,2314,2315,2222.43
14,Khagrachari,450,542,552.20,33,33,25.13,899,900,945.91,932,933,971.04
15,Lakshmipur,9050,9000,487.76,0,0,880.36,13084,13085,12331.9,13084,13085,"13212.2
6"
16,Noakhali,1448,1449,1473.59,0,0,0,14610,14612,"17774.2
6",14610,14612,"17774.2
6"
17,Rangamati,2428,2429,2275.27,2144,4021,2079.9,1892,17,1659.73,4036,4038,3739.63
2,"Chattogram
Division",28614,23779,"11463.5
1",11392,11396,"10773.1
1",69843,66185,"64796.0
1",81235,77581,"75569.1
2"
18,Dhaka,1142,900,226.74,0,122,128.99,2360,2793,2744.53,2360,2915,2873.52
19,Faridpur,468,452,410.00,221,160,362.11,4846,4731,4751.46,5067,4891,5113.57
20,Gazipur,212,342,383.15,99,190,192.67,1635,1566,1634.32,1734,1756,1826.99
21,Gopalganj,749,750,750.90,123,125,1075.53,2953,2448,2117.11,3076,2573,3192.64
22,Kishoreganj,322,347,345.54,272,277,293.58,4805,4900,5081.92,5077,5177,5375.5
23,Madaripur,408,412,414.49,0,0,0,6574,6507,4693.77,6574,6507,4693.77
24,Manikganj,903,811,1217.80,78,73,89.56,4304,4212,6687.18,4382,4285,6776.74
25,Munshiganj,140,100,75.52,0,0,0,1155,1254,1283.66,1155,1254,1283.66
26,Narayanganj,150,120,64.10,0,17,25.17,1535,1453,1274.65,1535,1470,1299.82
27,Narsingdi,150,160,84.81,0,0,0,2167,1996,1786.1,2167,1996,1786.1
28,Rajbari,800,700,363.23,5187,5187,5074.7,4528,4530,4560.32,9715,9717,9635.02
29,Shariatpur,1535,1430,771.71,0,0,0,5996,6208,8667,5996,6208,8667
30,Tangail,611,500,314.15,103,100,112.57,3503,3501,3964.82,3606,3601,4077.39
3,Dhaka Division,7590,7024,5422.14,6083,6251,7354.88,46361,46099,"49246.8
4",52444,52350,"56601.7
2"
31,Bagerhat,1010,847,874.80,0,0,0,23959,22936,22970.2,23959,22936,22970.2
32,Chuadanga,740,417,161.02,592,637,604.13,794,1018,1000.66,1386,1655,1604.79
33,Jashore,1587,1000,1521.31,3985,3993,4000.85,8544,8434,8520.75,12529,12427,12521.6
34,Jhenaidah,1210,399,806.11,360,1206,369.13,12728,9125,"12841.8
6",13088,10331,"13210.9
9"
35,Khulna,1126,1000,1560.40,993,964,1224.58,7370,8899,9243.42,8363,9863,10468
36,Kushtia,1220,784,829.00,708,725,707.95,14988,15481,"15302.0
5",15696,16206,16010
37,Magura,610,693,637.74,625,684,679.65,2610,2883,2859.94,3235,3567,3539.59
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
38,Meherpur,520,181,176.70,0,0,0,763,771,813.52,763,771,813.52
39,Narail,1030,478,472.92,1487,1688,1678.73,3887,4364,4362.54,5374,6052,6041.27
40,Satkhira,1812,1200,1631.62,428,557,658.16,5033,5238,5083.74,5461,5795,5741.9
4,Khulna Division,1130,6999,8671.62,9178,10454,9923.18,80676,79149,"82998.6
8",89854,89603,"92921.8
6"
41,Jamalpur,820,517,854.00,4,0,0,3357,3287,3627,3357,3287,3627
42,Mymensingh,2679,2679,2628.00,342,342,378.45,17610,17613,"19112.5
2",17952,17955,"19490.9
7"
43,Netrokona,190,497,521.00,0,0,0,4505,4693,4656,4505,4693,4656
44,Sherpur,146,181,185.00,0,0,0,947,969,1016,947,969,1016
5,"Mymensingh
Division",3835,3874,4188.00,342,342,378.45,26419,26562,"28411.5
2",26761,26904,"28789.9
7"
45,Bogura,720,700,412.00,0,0,92.35,8211,7660,7457.65,8211,7660,7550
46,Joypurhat,583,500,166.00,228,314,326.43,490,685,726.57,718,999,1053
47,Naogaon,210,120,139.00,0,0,0,977,1008,1147,977,1008,1147
48,Natore,615,566,535.00,0,0,0,13039,8864,8130,13039,8864,8130
49,Chapai Nawabganj,150,107,112.00,0,0,0,489,635,535,489,635,535
50,Pabna,777,763,301.00,186,310,499.48,6226,6112,"10137.5
1",6412,6422,"10636.9
9"
51,Rajshahi,531,528,519.00,745,243,192.22,9035,4786,4124.78,9780,5029,4317
52,Sirajganj,175,169,412.00,0,0,92.35,3081,3267,7457.65,3081,3267,7550
6,Rajshahi Division,3761,3453,2596.00,1159,867,1202.83,41548,33017,"39716.1
6",42707,33884,"40918.9
9"
53,Dinajpur,420,328,373.00,0,0,0,3580,3347,3165,3580,3347,3165
54,Gaibandha,241,264,222.16,0,0,0,1884,1873,2430.33,1884,1873,2430.33
