District name,Nov-2022,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,557,359
Khagrachari,450,300,0,0,0,0,473,382
Rangamati,0,0,0,0,545,0,552,0
Chattogram,617,451,552,389,524,399,630,464
Cox’sbazar,658,391,608,343,550,290,709,444
Cumilla,566,363,474,336,432,346,600,390
Chandpur,0,0,0,0,0,0,580,0
Brahmmanbaria,455,343,454,400,408,350,473,400
Noakhali,0,0,0,0,545,0,552,0
Lakshmipur,0,0,0,0,0,0,456,0
Feni,0,0,0,0,545,0,552,0
"Chattogram
Division",549,370,522,367,507,346,558,406
Sylhet,470,350,437,0,400,0,475,300
Maulavi Bazar,424,350,400,350,0,0,487,384
Sunamganj,387,290,0,0,0,0,432,330
Habiganj,483,367,0,0,0,0,513,375
Sylhet Division,441,339,419,350,400,0,477,347
Dhaka,542,400,457,350,467,300,564,450
Gazipur,575,435,563,488,582,469,694,518
Manikganj,540,400,497,370,457,350,569,474
Munshiganj,0,0,0,0,502,0,543,400
Narayanganj,650,550,575,493,500,500,692,594
Narsingdi,0,0,506,250,551,0,549,300
Faridpur,536,0,0,0,500,0,600,0
Rajbari,640,425,600,400,545,0,648,425
Madaripur,405,300,400,0,475,0,475,354
Gopalganj,450,0,300,200,467,300,505,300
Shariatpur,440,390,400,325,350,0,542,450
Tangail,605,340,558,290,536,240,635,445
Kishoreganj,540,400,503,0,518,0,545,450
Dhaka Division,538,404,487,352,496,360,582,430
Mymensing,540,460,550,440,580,450,580,500
Jamalpur,550,0,530,0,550,0,620,0
Sherpur,560,0,600,0,580,0,630,0
Netrokona,490,350,500,190,0,0,580,430
"Mymensing
Division",535,405,545,415,570,450,603,465
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,505,0,500,0,0,0,529,0
Jhalokathi,562,450,0,0,0,0,630,500
Perojpur,553,0,518,440,480,380,606,330
Bhola,535,0,471,0,0,0,592,406
Patuakhali,600,0,550,0,0,0,650,0
Barguna,613,385,683,435,0,0,647,407
"Barishal
Division",561,418,544,438,480,380,609,411
Jashore,0,0,0,0,0,0,368,273
Jhenaidah,400,314,378,279,368,241,435,346
Magura,419,0,293,0,350,0,460,0
Narail,467,0,0,0,428,218,512,342
Khulna,0,0,0,0,0,0,463,333
Bagerhat,450,325,550,0,458,0,557,400
Satkhira,0,0,0,0,0,0,399,323
Kushtia,436,350,0,0,0,0,487,400
Chuadanga,300,0,0,0,0,0,363,0
Meherpur,350,0,0,0,0,0,400,0
Khulna Division,403,330,407,279,401,230,444,345
Rajshahi,443,392,487,430,0,0,512,430
Naogaon,494,393,440,380,455,0,500,385
Natore,372,292,442,317,0,0,411,305
"Chapai
Nawabganj",500,433,550,450,525,0,550,450
Bogura,460,0,510,0,0,0,540,350
Joypurhat,618,384,586,402,550,390,662,402
Pabna,536,0,0,0,0,0,536,350
Sirajganj,0,0,0,0,0,0,473,356
"Rajshahi
Division",489,379,503,396,510,390,523,379
Rangpur,435,310,0,0,0,0,504,330
Gaibandha,0,0,0,0,0,0,404,300
Kurigram,351,237,0,0,0,0,413,270
Nilphamari,462,336,0,0,0,0,482,355
Lalmonirhat,384,296,400,320,0,0,450,350
Dinajpur,465,393,0,0,0,0,511,422
Thakurgaon,467,360,0,0,0,0,474,364
Panchagar,371,292,0,0,0,0,396,269
"Rangpur
Division",419,318,400,320,0,0,454,333
BANGLADESH,492,370,478,364,421,308,532,389
