Commodity,Unit,2019-20,,2020-21,,2021-22,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0103-Fowl, domestic weight<=185
gram",No.,-,-,3,2,-,-
"0105-Live poultry other weight
<=185 gram",No.,16804849,2134087,188297,3059317,144932,2788706
01051490 Live poultry-other,No.,,68,160,257,163,185
"0106-Live animals, other for
human food",No.,264470,88268,54674,148102,44241,360409
"0202- Meat bovine animals
boneless, frozen",Kg,9050871,2913545,8667368,2699547,13292320,5803968
"0401- Milk & cream other fat 1% +
<=6%",Liter,859940,60730,856323,106357,761674,81034
"Skim milk powder fat <=1.5%
w/sugar",Kg,-,-,-,-,-,-
"0402-Milk powder fat <=1.5%
w/sugar",Kg,41564911,33246206,137615022,32333296,155051623,40146662
Milk powder not sugar fat 1.5% +,Kg,-,-,-,-,-,-
"Cream powder not sugar fat 1.5%
+",Kg,-,-,-,-,-,-
Milk/cream powder etc. other,Kg,-,-,-,-,-,-
"Milk/cream other not containing
sugar",Kg,-,-,-,-,-,-
"Milk and cream with sugar, other",Kg,-,-,-,-,,-
"0404- Whey containing sugar/
sweet or not",Kg,15243411,1368186,13261979,1160575,14154793,1308898
"Butter, canned, fresh/ frozen",Kg,-,-,-,-,-,-
"Butter, melted (ghee)",Kg,-,-,-,-,,-
040510- Butter oil,Kg,670856,252518,780788,281048,645136,275488
04069000- Cheese-other,Kg,586498,161792,703476,190633,822569,250752
0409- Natural honey,Kg,556256,185821,1730939,606543,987624,328932
"0505-Feathers used for stuffing:
down",Kg,6374020,4373738,690236,3540218,1188570,7276425
"0508-Coral & similar material
unworked",Kg,7394116,8942,1106342,9849,1177074,21376
Natural sponges of,Kg,-,-,-,-,-,-
animal origin,,-,-,-,-,-,-
05111000 Bovine animal semen,Kg,1830,1542,39,3085,26,7329
"05119100 Pot fish/crustacean
etc N/for human",Kg,807619,360550,7243968,312556,5598367,257492
"06011000- Live plants, other
incl. their roots",Kg,1015,439,2607,1363,2339,1780
"0701 Potatoes fresh or chilled
seed",Kg,3107063,240489,8353101,688708,2997001,330039
"07011090 Potatoes fresh or
chilled: other",Kg,3100839,239662,8352871,688648,2996937,330016
"0702 Tomatoes, fresh or chilled",Kg,40026196,1382730,54503618,1925377,46345402,2006143
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
0703 Onion and shallots,Kg,640917187,28539341,780559267,28066688,755883739,26712780
07032090 Garlic,Kg,94222438,9137917,97406831,7373900,59462385,5436250
"0707-Cucumber gherkin
fresh/chilled",Kg,2865,372,9964,1366,4416,595
"0708-Peas (pisum sativum)
fresh/chill",Kg,59867,4356,116186,8987,113183,5084
"0709-Vegetable, fresh or chilled:
other",Value,1804272,94205,52031534,1905549,11467822,534353
"07132090 -Peas shelled,
skinned or not",Kg,256050792,12508305,244190527,11444554,343568267,18936580
"07132090-Chick peas shelled,
skinned or not",Kg,-,-,-,-,-,-
"07133590-Beans dry shelled,
skinned or not",Kg,4184,546,1245,162,1,0.4
"07134090-Lentils, dried, shelled",Kg,616874905,27013564,495735486,25869143,479785402,35743785
skin or not,,-,-,-,-,-,-
"07139090-Leguminous Veg
seeds, dry shelled",Kg,5675655,390774,1191339,102812,1819555,128418
"08012290-Cashew nut fresh/ dry
shelld or not",Kg,-,-,1338,378,1947,626
"08021190-Almonds, in shell",Kg,3438,255,4601,979,2926,670
