District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,98,150,152.00,62,78,72.19,472,493.81,696,534,566,566.00
2,Barishal,210,170,190.00,346,344,420.00,2154,2430.00,2330,2500,2330,2850.00
3,Bhola,51,62,122.00,214,214,241.37,751,839.63,838,965,952,1081.00
4,Jhallokati,102,130,156.00,0,10,10.32,1399,1431.68,300,1399,1318,1442.00
5,Patuakhali,174,120,242.00,0,0,0.00,273,390.00,877,273,291,390.00
6,Pirojpur,90,52,328.00,190,214,162.58,602,605.41,775,792,900,767.99
1,Barishal Division,724,684,1190.0,812,860,906.46,5651,6190.53,5816,6463,6357,7096.99
7,Bandarban,82,100,278.00,1338,1305,1341.56,839,847.44,3427,2177,2180,2189.00
8,Brahmanbaria,30,39,37.00,123,130,137.55,407,434.45,569,530,569,572.00
9,Chandpur,162,191,250.00,215,15,15.46,1432,2481.54,1647,1647,1682,2497.00
10,Chattogram,240,200,255.00,663,639,657.41,2146,2102.99,3427,2809,2739,2760.40
11,Cumilla,158,190,344.00,1053,358,358.01,1114,2052.00,2168,2167,2409,2410.01
12,Cox’s Bazar,78,100,206.00,560,2313,2558.14,616,1809.86,5809,1176,4086,4368.00
13,Feni,50,60,137.00,0,0,0.00,492,493.00,493,492,492,493.00
14,Khagrachari,167,150,104.00,814,1116,1110.70,1512,1284.30,2326,2326,2404,2395.00
15,Lakshmipur,255,165,184.00,0,0,350.27,3423,3649.73,3048,3423,3564,4000.00
16,Noakhali,120,150,153.00,0,0,0.00,1945,2274.00,2032,1945,2146,2274.00
17,Rangamati,333,300,478.00,2551,2678,2800.89,2014,2074.11,4638,4565,4638,4875.00
2,"Chattogram
Division",1676,1645,2426.00,7317,8554,9329.99,15940,"19503.4
2",29584,23257,26909,"28833.4
1"
18,Dhaka,130,160,304.67,362,532,719.74,1300,1106.96,1443,1662,1614,1826.70
19,Faridpur,100,55,111.00,207,215,201.95,850,804.05,580,1057,1089,1006.00
20,Gazipur,182,200,299.00,627,1211,971.19,1026,766.81,1563,1653,1719,1738.00
21,Gopalganj,161,114,119.23,9,20,410.20,782,659.80,1551,791,1064,1070.00
22,Kishoreganj,77,90,85.17,263,213,246.75,963,1040.05,1105,1226,1167,1286.80
23,Madaripur,208,134,139.36,710,21,644.29,1528,510.92,580,2238,1095,1155.21
24,Manikganj,94,110,160.39,235,246,271.88,1197,1442.52,1365,1432,1519,1714.40
25,Munshiganj,41,92,94.26,22,24,25.89,476,262.94,461,498,516,288.83
26,Narayanganj,69,57,68.19,225,224,235.65,712,646.76,933,937,931,882.41
27,Narsingdi,163,147,182.92,1776,870,2075.71,871,911.77,1680,2647,1471,2987.48
28,Rajbari,122,90,102.76,957,1000,936.85,1009,1011.75,729,1966,2001,1948.60
29,Shariatpur,115,120,236.77,22,21,20.90,1838,1925.57,1894,1860,1929,1946.47
30,Tangail,384,390,399.07,1102,1055,999.91,3268,3311.09,5719,4370,5273,4311.00
3,Dhaka Division,1846,1759,2302.79,6517,5652,7760.91,15820,"14400.9
9",19603,22337,21388,"22161.9
0"
31,Bagerhat,82,90,92.98,0,0,23.22,1022,993.38,1014,1022,1026,1016.60
32,Chuadanga,73,69,71.51,1409,1407,1427.31,516,535.39,4104,1925,1939,1962.70
33,Jashore,140,150,242.08,1688,1688,1691.39,1624,1588.21,3242,3312,3307,3279.60
34,Jhenaidah,78,107,111.27,673,700,732.84,463,508.16,1150,1136,1190,1241.00
35,Khulna,157,200,240.71,168,234,286.76,586,1029.02,1020,754,1099,1315.78
36,Kushtia,155,126,132.00,1371,1407,1452.46,3997,4139.54,4779,5368,5518,5592.00
37,Magura,114,95,315.57,1557,1470,1441.88,897,961.42,2404,2454,2449,2403.30
38,Meherpur,60,55,53.55,1064,1164,935.60,383,364.40,1073,1447,1590,1300.00
39,Narail,49,29,202.34,647,286,647.34,705,727.06,1680,1352,1388,1374.40
40,Satkhira,238,200,362.94,678,730,749.15,974,881.45,2224,1652,1693,1630.60
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
4,Khulna Division,1147,1121,1824.95,9255,9086,9387.95,11167,"11728.0
3",22690,20422,21199,"21115.9
8"
41,Jamalpur,165,155,342.00,493,527,797.47,2612,6017.53,2950,3105,3255,6815.00
42,Mymensingh,390,400,417.00,682,683,860.81,4096,5063.19,3921,4778,4798,5924.00
43,Netrokona,77,60,113.00,148,39,59.23,2502,1346.77,1254,2650,950,1406.00
44,Sherpur,70,115,112.00,42,44,37.60,951,998.77,1506,993,1049,1036.37
5,"Mymensingh
Division",703,730,984.00,1365,1293,1755.11,10161,"13426.2
6",9631,11526,10052,"15181.3
7"
45,Bogura,270,277,257.00,2261,2228,7485.97,2526,3688.97,4100,4787,4862,"11174.9
4"
46,Joypurhat,44,47,103.00,256,363,425.20,68,230.80,585,594,563,656.00
47,Naogaon,80,70,134.00,321,123,145.63,1580,1734.37,1914,1901,1556,1880.00
48,Natore,318,330,516.00,2988,4591,4285.16,6011,3542.84,13049,8999,8135,7828.00
49,Chapai Nawabganj,65,86,85.00,505,489,530.37,809,966.63,1229,1314,1375,1497.00
50,Pabna,411,399,446.00,759,731,590.22,3802,3875.78,3127,4561,4537,4466.00
51,Rajshahi,493,175,304.00,6140,776,7485.97,2757,1552.03,7785,8897,2881,9038.00
52,Sirajganj,217,180,351.00,55,744,63.62,2757,3037.38,2986,2812,2881,3101.00
6,Rajshahi Division,8198,1564,2196.00,13555,10045,"21012.1
4",20310,"18628.8
0",34775,33865,26790,"39640.9
4"
53,Dinajpur,161,158,257.00,381,553,567.90,1520,1797.10,1884,1901,2472,2365.00
54,Gaibandha,123,147,155.61,555,556,648.93,970,1105.87,1620,1525,1525,1754.80
55,Kurigram,221,70,104.49,88,74,68.92,1434,708.74,1544,1522,1073,777.66
56,Lalmonirhat,94,75,94.44,142,136,135.63,667,682.71,741,809,773,818.34
57,Nilphamari,80,72,75.09,229,190,171.30,1373,1085.71,1671,1602,1383,1257.01
58,Panchagar,54,65,67.76,395,444,451.42,722,854.50,1025,117,1270,1305.92
59,Rangpur,101,100,108.32,400,444,379.14,1014,1032.56,1371,1414,1482,1411.70
60,Thakurgaon,36,44,42.58,35,41,37.04,509,550.29,524,544,580,587.33
7,Rangpur Divison,823,731,905.29,2225,2438,2460.28,8209,7817.48,10380,10434,10558,"10277.7
6"
61,Habiganj,25,20,42.22,117,296,167.80,299,445.49,481,416,510,613.29
62,Moulvibazar,70,45,171.54,0,47,49.04,668,976.98,1195,668,919,1026.02
63,Sunamganj,29,60,165.00,156,38,46.92,88,479.08,570,244,470,526.00
64,Sylhet,61,55,92.00,111,224,299.45,936,577.55,1084,1047,606,877.00
8,Sylhet Division,185,180,470.76,384,605,563.21,1991,2479.10,3330,2375,2505,3042.31
,BANGLADESH,9004,8414,"12299.7
9",41430,38533,"53176.0
5",89249,"94174.6
1",135809,130679,"12575
8","147350.
66"
