District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,106037,42911,25.91,2.389,102554,19,50341,26.44,2.438,122719
2,Barishal,116391,47101,25.01,2.306,108658,122500,49595,25.55,2.356,116830
3,Bhola,310934,125828,32.09,2.959,372448,358890,145300,33.26,3.067,445565
4,Jhalokathi,23670,9579,29.59,2.729,26144,27242,11029,26.75,2.466,27201
5,Patuakhali,182739,73950,29.46,2.717,200952,250349,101356,30.06,2.771,280907
6,Pirojpur,23764,9617,27.72,2.556,24589,22899,9271,28.89,2.664,24694
1,"Barishal
Division",763535,308986,29.31,2.703,835344,906223,366892,30.09,2.774,1017915
7,Bandarban,24913,10082,31.94,2.946,29702,23916,9683,30.27,2.791,27023
8,Brahmanbaria,112462,45511,34.20,3.154,143569,114160,46219,33.2,3.061,141475
9,Chandpur,47136,19075,29.54,2.724,51975,60502,24485,25.1,2.315,56686
10,Chattogram,378152,153030,27.85,2.568,393115,379392,153600,28.35,2.614,401484
11,Cumilla,263291,106548,27.21,2.509,267419,270165,109379,28.30,2.609,285393
12,Cox’s Bazar,175046,70837,30.24,2.789,197588,177288,71776,31.01,2.859,205214
13,Feni,147156,59551,33.79,3.116,185607,147057,59537,33.89,3.125,186030
14,Khagrachari,63033,25508,35.99,3.319,84679,63792,25827,33.98,3.133,80912
15,Laxmipur,156400,63292,30.16,2.781,176074,164693,66677,30.75,2.835,189037
16,Noakhali,302007,122260,30.99,2.857,349354,298785,120966,31.75,2.927,354104
17,Rangamati,23416,9476,32.56,3.003,28459,23167,9379,32.15,2.964,27802
2,"Chattogram
Division","169301
2",685169,30.18,2.784,1907540,1722917,697528,30.40,2.803,1955161
18,Dhaka,12635,5113,26.89,2.480,12682,12100,4899,27.11,2.500,12245
19,Faridpur,153510,62122,31.50,2.905,180499,162605,65832,33.54,3.092,203575
20,Gazipur,95526,38657,35.06,3.233,125015,96138,38922,34.97,3.224,125493
21,Gopalgonj,29406,11900,28.73,2.650,31536,24338,9853,29.65,2.734,26936
22,Kishoregonj,178280,72146,31.85,2.937,211953,180661,73142,30.36,2.799,204736
23,Madaripur,17023,6900,33.44,3.079,21249,17801,7207,30.11,2.776,20007
24,Manikgonj,12192,4934,32.47,2.995,14777,20665,8366,32.55,3.001,25108
25,Munsigonj,1103,446,25.65,2.365,1056,3843,1555,26.65,2.458,3823
26,Narayangonj,5214,2110,26.80,2.472,5216,5811,2353,27.15,2.503,5889
27,Narsingdi,80187,32450,30.63,2.825,91681,79892,32345,32.22,2.971,96085
28,Rajbari,109792,44430,25.40,2.342,104095,98968,40068,25.73,2.372,95052
29,Shariatpur,4358,1764,32.41,2.989,5272,4710,1907,28.32,2.611,4979
30,Tangail,151528,61320,28.57,2.635,161595,173542,70260,29.09,2.682,188441
3,"Dhaka
Division",850754,344293,30.44,2.807,966626,881074,356710,30.78,2.838,1012369
31,Bagerhat,87677,35481,29.26,2.698,95746,91977,37238,30.14,2.779,103478
32,Chuadanga,85718,34688,29.38,2.71,94005,82851,33543,29.59,2.728,91510
33,Jashore,334730,135458,30.90,2.850,386094,336432,136207,31.15,2.872,391185
34,Jhenaidah,252930,102355,36.69,3.384,346395,253361,102575,36.96,3.408,349542
35,Khulna,173613,70257,33.31,3.0728,215888,173572,70272,29.56,2.725,191519
36,Kushtia,222629,90093,32.38,2.986,269082,215832,87381,32.87,3.031,264815
37,Magura,141541,57279,28.59,2.636,151030,140339,56817,28.60,2.637,149821
38,Meherpur,82524,33396,34.27,3.161,105565,63909,25874,33.22,3.063,79248
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
39,Narail,63882,25852,34.08,3.143,83265,82964,33589,33.32,3.072,103186
40,Satkhira,202033,81758,30.05,2.771,226618,214075,86670,33.12,3.054,264657
4,"Khulna
Division","164727
7",666617,32.07,2.957,1971688,1655312,670167,32.19,2.968,1988962
41,Jamalpur,219388,88782,27.41,2.527,224435,234085,94733,27.55,2.541,240726
42,Mymensingh,563610,228081,27.51,2.537,578657,560011,226633,29.81,2.750,623140
43,Netrokona,249808,101092,31.74,2.927,295922,280083,113348,31.30,2.887,327234
44,Sherpur,137784,55758,28.49,2.628,146548,164940,66750,29.32,2.704,180517
5,"Mymensingh
Division","117059
0.441",473712,"28.505
8",2.629,1245563,1239119,501465,29.65,2.735,1371617
45,Bogura,426118,172441,32.63,3.010,519008,433576,175466,33.83,3.120,547513
46,Joypurhat,"168996.
1",68389,30.60,2.822,193030,167389,67741,31.39,2.895,196131
47,Naogaon,"406738.
1",165645,30.08,2.757,456688,414229,167704,31.88,2.939,492930
48,Natore,154651,62895,32.53,2.985,187786,172351,69778,33.68,3.105,216677
49,"Chapai
Nawabganj",135540,54850,30.64,2.826,155018,136798,55361,31.31,2.888,159879
50,Pabna,135861,54980,29.42,2.713,149199,133094,53862,30.81,2.842,153066
51,Rajshahi,181386,73403,34.24,3.158,231827,182452,73837,35.22,3.249,239864
52,Sirajganj,162263,65664,33.02,3.045,199997,159156,64435,31.99,2.949,190048
6,"Rajshahi
Division","177155
3",718266.8,"31.644
3",2.913,2092555,1799044,728185,32.70,3.016,2196108
53,Dinajpur,629538,254760,29.12,2.686,684291,627114,253790,30.52,2.815,714428
54,Gaibandha,272555,110297,31.57,2.912,321186,292858,118518,27.31,2.519,298542
55,Kurigram,253293,102502,30.75,2.836,290734,259641,105075,31.83,2.936,308487
56,Lalmonirhat,189839,76824,30.58,2.820,216696,212640,86089,30.90,2.849,245262
57,Nilphamari,278350,112144,29.61,2.743,307650,276033,111709,29.58,2.728,304780
58,Panchagarh,244823,99075,33.48,3.088,305960,245235,99245,33.51,3.091,306750
59,Rangpur,403369,163235,29.32,2.704,441462,404551,163720,30.66,2.828,462991
60,Thakurgaon,319735,129390,29.15,2.688,347901,338400,137004,31.17,2.874,393726
7,"Rangpur
Division","259150
1",1048226,"30.143
3",2.781,2915879,2656472,1075150,30.61,2.823,3034967
61,Habiganj,185664,75134,32.83,3.028,227523,193170,78175,28.34,2.614,204346
62,Moulvibazar,246181,99624,31.91,2.943,293230,246121,99604,31.97,2.949,293710
63,Sunamganj,157704,63819,28.15,2.596,165710,163818,66296,27.98,2.581,171095
64,Sylhet,241181,97601,34.64,3.195,311852,268761,108766,33.15,3.058,332565
8,"Sylhet
Division",830730,336178,32.19,2.970,998315,871870,352841,30.78,2.839,1001716
Bangladesh,,11318953,4581448,30.61,2.823,"1293350
9",11732031,4748936,31.01,2.859,13578813
