2020-21,,2021-22,,"% Change over previous
year"
"Yield rate per acre
(Bales)","Yield rate per hector
(Bales)","Yield rate
per acre
(Bales)","Yield rate
per hector
(Bales)",
4.58,11.324,4.73,11.593,(+) 2.375
