Commodity,Unit,2019-20,,2020-21,,2021-22,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0105- Livefowl domestic Spices -
other",No.,-,-,-,-,,
0202-Meat of bovine animal,Kg,42640,21518,83754,43010,71121,39467
0303-Eels fish frozen,Kg,8825114,2870819,9584485,3634253-,7596296,2949351
"03037-Fish, other frozen",Kg,,,-,-,-,-
"03039010-90 Livers and roes
frozen",Kg,,,-,-,-,-
"03052-Liver/roe dry smoked sltd in
brine",Kg,-,-,-,-,-,-
"0305- Fish filet dry sltd in brine
not smoked",Kg,3343012,533855,4658826,730641,3582072,626447
"03054910-Sharkfins, smoked
cooked or not salted",Kg,-,-,-,-,-,-
"03055990- Fish dry salted/ in brine
not smoked",Kg,3118696,401699,4480084,577505,3486116,569535
"030559- Fish dry unsalted, not
smoked",Kg,-,-,-,-,-,-
"03056990- Fish salted, not
dried/smoked and fish in brine,
other.",Kg,155828,33990,83487,48786,53537,10299
"0306- Shrimps, frozen",Kg,31501919,28050474,34345911,29371681,35144232,36186856
"030614- Crabs, frozen",Kg,4541352,2058018,1841940,1090352,950266,1019724
"030629- Crustaceans, other, not
frozen",Kg,-,-,-,-,-,-
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,75702,14003,137184,20452,156790,20525
"0501- Human hair unworked wash
or not & waste",Kg,76692,29730,213739,467210,3057,13986
"0504-Bladder and gut of animal
not fish",Kg,854100,510429,1452085,925121,1774896,1272397
"0505- Feathers used for stuffing;
down",Kg,185015,38599,106366,21209,189012,146861
0506- Bones (uncrushed),Kg,903400,35525,154000,11853,52640,1122
05069- Unworked other,Value,818000,34159,154000,11853,20000,784
"0507900 Horn antler & similar pcs
of animals",Kg,50975,939,120069,6527,-,-
"0709-Vegetable, fresh or chilled
other",Kg,2600776,462324,1875805,396055,1699396,380440
"0810- Fruits, fresh, other",Kg,9448,2657,71300,16526,848266,239696
"09021-000 Green tea, packing",Kg,2175,1565,22622,8782,84,33
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"09022- 000Green tea, other(not
fermented)",Kg,121281,70984,135711,62141,128490,60273
"0902300- Black tea packing not
exceeding 3 kg",Kg,289473,78463,549261,106181,398129,76128
09024000- Tea nec,Kg,621521,88723,894002,130246,107865,48379
"0904- Chillies, dry",Kg,1379010,334896,1823448,466445,2213087,625992
0909- Black cumin seeds,Kg,35005,11942,163975,50530,104373,33938
093010- 10Turmeric (curcuma),Kg,216722,46756,513151,134977,369819,111082
"Mixtures of two/more spices,
other(09109990)",Kg,5853968,2086817,8555092,3103098,7739956,2800670
10063010 Rice medium quality,mton,2388508,205047,2407028,192418,957851,92389
1209- Vegetable seeds for sowing,Kg,65342,91181,1253636,619694,4199133,1137957
"12099100 Seeds, for sowing,other",Kg,57342,90533,1251713,617024,4195083,1136391
"1211-Plant & part etc., used in
perfumery",Kg,483006,50975,684372,144980,430273,369081
"12119021- Plant & part herb
etc., for medicine",Kg,2115,1141,15676,10213,15648,11579
12129990- Betel leaves,Kg,,,3500,8631,4000,1030
"13023100-Balsam Mucilages &
thickeners:",Kg,140113,11458,640470,304130,513453,424969
14011000- Bamboo,Kg,106331,1470,192494,2947,182395,2894
"1401-Veg mtrl use for plaiting:
other",Kg,106331,1470,193644,3393,187791,5931
"1701- Sugarcane/beet chem
pure/solid other",M.ton,-,-,600,178,10698,1673
"1703- Molasses, cane flavoured
coloured",M.ton,47057,6621,106702,14760,73884,9726
"19041000- Rice, beaten (Muri)",Kg,6822795,971778,10245525,1671955,6083936,989153
19041000 Prepared food: other,Kg,6821795,971778,7676249,1129218,608396,989153
"19019010 Pineapple prep/presv
w/sugar or not",Kg,134100,48879,386800,141820,-,-
"2106 Food preparations, other",Kg,156916,85,617052,112411,123010,74894
"22021000- Non-alcoholic
beverage, other nec",Liter,8246135,498290,13807356,829755,13456365,881282
2203- Beer made from malt,Liter,1464,197,3120,1514,-,-
22083000-Whiskies,Liter,3006,2089,3192,3061,1896,1675
"24011000- Tobaco N/stem/strip
F/cure N/virgna",Kg,5240858,916811,4128198,745693,4882604,900166
"24012000-Tobacco whole/part
stem/strip virgna",Kg,24517406,5138377,25568320,6117455782,30777918,7738661
"24021000-Cigar chroot/cigrillo
cigarete other",Kg.,355559,190792,373916,199204,515259,298356
24022000 Cigarette tobacco,kg,126494,135489,332164,311069,56562,37820
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
cont subs or not,,,,,,,
"31021000- Urea Aqueous
solution or not",M.ton,,,22500000,495419-,100,4
4101- Raw hides and skins other,Kg,133358,11523,-,-,-,-
41041100- Calf leather,Kg,,,-,-,-,-
"41044100- Leather, bovine
hides",Kg,,,-,-,-,-
"4105-Leather, semi finished
sheep skin",Kg,7458,6887,7295,6805,2980,9441
"4107- Leather of other animal
(not hair on)",Kg,707520,1492575,1100334,2108065,815998,1496215
"52-Cotton, Bangladesh Sg",M.ton,76476096,10233413,113095251,13689465,119946838,21170921
"53031000 Jute, raw white A
bottom",M.ton,174545941,9453673,167332123,11402431,194051926,16392665
"53039000 Jute, raw white,
grades B,C,D or E",M.ton,10559429,657586,13049839,1223868,16704534,2263666
5303900-Mesta (kenaf),Kg,10559429,657586,-,-,-,-
