District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,0,0,15.46,0,0,0.00,0,0,1.40,0,0,1.40
2,Barishal,26,24.97,81.00,0,0,0.00,60,62,57.00,60,62,57.00
3,Bhola,4,3.17,1.36,0,0,0.00,1,1,1.00,1,1,1.00
4,Jhallokati,17,13,14.00,0,0,0.00,10,10,11.00,10,10,11.00
5,Patuakhali,9,11.69,8.55,0,0,0.00,6,7.8,10.00,6,7.8,10.00
6,Pirojpur,2,1.75,0.97,0,0,0.00,2,2.3,1.97,2,2.3,1.97
1,Barishal Division,57,54.58,121.34,0,0,0.00,79,83.1,82.37,79,83.1,82.37
7,Bandarban,3,21,21.00,0,0,0.00,1,1,0.89,1,1,0.89
8,Brahmanbaria,24,33.11,29.26,0,0,0.00,29,29.31,23.76,29,29.31,23.76
9,Chandpur,11,6.24,6.54,0,0,0.00,9,10.33,12.15,9,10.33,12.15
10,Chattogram,13,3.71,5.39,0,0,0.00,11,6.60,13.19,11,6.6,13.19
11,Cumilla,43,44.17,44.17,13,13.18,13.55,20,20.42,20.06,33,33.6,33.61
12,Cox’s Bazar,2,6.59,7.98,0,0,0.00,6,8.14,8.19,6,8.14,8.19
13,Feni,1,1,1.00,0,0,0.00,2,1.61,1.63,2,1.61,1.63
14,Khagrachari,4,4.95,5.42,0,0,0.00,3,2.07,1.83,3,2.07,1.83
15,Lakshmipur,7,8.30,9.83,0,0,0.00,6,9,9.52,6,9,9.52
16,Noakhali,8,2.47,1.87,0,0,0.00,1,1.82,0.90,1,1.82,0.90
17,Rangamati,2,2.50,2.50,0,0,0.00,1,1.10,1.70,1,1.1,1.70
2,"Chattogram
Division",117,134.04,134.96,13,13.18,13.55,89,91.4,93.82,102,104.58,107.37
18,Dhaka,7,5.83,0.00,0,0,0.00,20,19.21,0.00,20,19.21,0.00
19,Faridpur,31,18,18.90,0,0,0.00,53,54,54.49,53,54,54.49
20,Gazipur,21,24,25.00,0,0,0.00,16+,17,18.00,16,17,18.00
21,Gopalganj,19,4.98,4.58,0,0,0.00,35,29.09,18.15,35,29.09,18.15
22,Kishoreganj,17,11.41,6.49,0,0,0.00,14,15.05,11.90,14,15.05,11.90
23,Madaripur,13,7.85,8.47,0,0,0.00,90,49.11,38.27,90,49.11,38.27
24,Manikganj,3,2.29,2.33,0,0,0.00,4,4.54,5.04,4,4.54,5.04
25,Munshiganj,2,1.41,1.60,0,0,0.00,4,4.63,7.11,4,4.63,7.11
26,Narayanganj,8,4.82,4.58,0,0,0.00,30,29.08,26.96,30,29.08,26.96
27,Narsingdi,25,12.57,9.99,0,0,0.00,36,29.94,45.94,36,29.94,45.94
28,Rajbari,5,2.58,2.58,0,0,0.00,7,10,9.20,11,10,9.20
29,Shariatpur,21,3.63,4.62,0,0,0.00,44,25.80,14.06,44,25.8,14.06
30,Tangail,69,24.06,28.46,0,0,0.00,73,82.05,76.75,73,82.05,76.75
3,Dhaka Division,241,123.43,117.60,4,0,0.00,426,369.50,325.87,430,369.50,325.87
31,Bagerhat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
32,Chuadanga,6,5.52,5.59,0,0,0.00,5,5,5.00,5,5,5.00
33,Jashore,31,13.67,13.38,0,0,0.00,109,110,113.00,109,110,113.00
34,Jhenaidah,25,12.39,12.47,0,0,0.00,46,46,47.00,46,46,47.00
35,Khulna,18,7.27,7.82,0,4.85,4.48,22,28.15,29.52,26,33,34.00
36,Kushtia,34,12.00,10.00,0,0,0.00,31,31,34.00,31,31,34.00
37,Magura,32,46.14,14.81,44,0,0.00,83,65,57.00,127,65,57.00
38,Meherpur,13,14.18,15.26,0,0,0.00,8,9,13.00,8,9,13.00
39,Narail,9,21.73,24.44,0,0,0.00,10,8,8.00,10,8,8.00
40,Satkhira,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4,Khulna Division,168,132.90,103.77,48,4.85,4.48,314,302.15,306.52,362,307,311.00
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
41,Jamalpur,6,6.60,8.00,0,0,0.00,8,9,10.00,8,9,10.00
42,Mymensingh,19,18,17.00,0,0,0.00,11,11,24.00,11,11,24.00
43,Netrokona,15,15,20.50,0,0,0.00,42,26,22.00,42,26,22.00
44,Sherpur,4,3,2.90,0,0,0.00,4,4,4.00,4,4,4.00
5,"Mymensingh
Division",44,42.60,48.40,0,0,0.00,65,50,60.00,65,50,60.00
45,Bogura,6,2.65,13.39,0,0,0.00,9,8.91,50.05,9,8.91,50.05
46,Joypurhat,14,5.70,4.42,0,6.40,0.00,4,8.37,19.36,9,14.77,19.36
47,Naogaon,11,5.21,5.17,0,0,0.00,17,21.95,20.65,17,21.95,20.65
48,Natore,12,8.31,8.33,0,0,0.00,81,51.56,28.45,81,51.56,28.45
