District name,Dec-2022,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food
(in TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,557,,,379,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,473,,,382,,
Rangamati,404,,,320,,,375,,,250,,,0,,,0,,,485,,,338,,
Chattogram,617,,,464,,,552,,,389,,,524,,,399,,,630,,,451,,
Cox’sbazar,659,,,401,,,612,,,361,,,550,,,300,,,714,,,438,,
Cumilla,550,,,407,,,500,,,345,,,463,,,390,,,575,,,432,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,580,,,0,,
Brahmmanbaria,470,,,375,,,467,,,400,,,447,,,350,,,524,,,400,,
Noakhali,574,,,0,,,550,,,0,,,525,,,0,,,653,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,440,,,0,,
Feni,615,,,0,,,0,,,0,,,0,,,0,,,688,,,0,,
"Chattogram
Division",542,,,382,,,509,,,344,,,502,,,360,,,574,,,407,,
Sylhet,462,,,300,,,419,,,0,,,363,,,0,,,473,,,350,,
Maulavi Bazar,426,,,362,,,400,,,350,,,0,,,0,,,493,,,375,,
Sunamganj,433,,,320,,,0,,,0,,,0,,,0,,,482,,,361,,
Habiganj,513,,,381,,,0,,,0,,,0,,,0,,,494,,,400,,
Sylhet Division,458,,,341,,,410,,,350,,,363,,,-,,,485,,,372,,
Dhaka,567,,,400,,,527,,,350,,,475,,,320,,,584,,,450,,
Gazipur,600,,,475,,,550,,,425,,,588,,,420,,,706,,,528,,
Manikganj,525,,,400,,,484,,,363,,,450,,,350,,,566,,,400,,
Munshiganj,550,,,0,,,0,,,0,,,466,,,0,,,545,,,375,,
Narayanganj,650,,,493,,,575,,,480,,,550,,,450,,,687,,,500,,
Narsingdi,0,,,0,,,553,,,400,,,544,,,350,,,577,,,400,,
Faridpur,536,,,0,,,0,,,0,,,500,,,0,,,600,,,0,,
Rajbari,616,,,400,,,500,,,380,,,525,,,0,,,640,,,450,,
Madaripur,512,,,350,,,480,,,0,,,450,,,0,,,536,,,410,,
Gopalganj,620,,,0,,,530,,,322,,,471,,,315,,,573,,,465,,
Shariatpur,440,,,390,,,400,,,325,,,350,,,0,,,542,,,450,,
Tangail,545,,,380,,,485,,,350,,,465,,,335,,,550,,,415,,
Kishoreganj,500,,,400,,,536,,,0,,,513,,,0,,,574,,,450,,
"Dhaka
Division",555,,,410,,,511,,,377,,,488,,,363,,,591,,,441,,
Mymensingh,,518,,,440,,,534,,,455,,,584,,,435,,,607,,,465,
Jamalpur,,490,,,-,,,520,,,-,,,535,,,-,,,570,,,-,
Sherpur,456,,,-,,,493,,,-,,,520,,,-,,,530,,,-,,
Netrokona,503,,,395,,,533,,,430,,,-,,,-,,,590,,,450,,
"Mymensingh
Division",492,,,418,,,520,,,443,,,546,,,435,,,574,,,458,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,505,0,500,0,0,0,534,0
Jhalokathi,558,450,0,0,0,0,620,500
Perojpur,553,0,533,440,480,0,634,465
Bhola,535,0,471,0,0,0,592,406
Patuakhali,600,0,550,0,0,0,650,0
Barguna,697,400,675,380,0,0,745,455
"Barishal
Division",575,425,546,410,480,0,629,457
Jashore,0,0,0,0,0,0,348,300
Jhenaidah,372,320,361,312,344,300,393,332
Magura,446,0,406,0,363,0,483,0
Narail,432,0,0,0,402,322,489,337
Khulna,0,0,0,0,0,0,553,402
Bagerhat,402,0,0,0,432,330,489,337
Satkhira,0,0,0,0,0,0,409,316
Kushtia,420,350,0,0,0,0,470,400
Chuadanga,400,0,0,0,0,0,435,0
Meherpur,420,0,0,0,0,0,400,0
Khulna Division,413,335,384,312,385,317,447,346
Rajshahi,469,379,449,338,0,0,492,410
Naogaon,475,331,418,312,0,0,490,347
Natore,472,392,442,350,0,0,500,400
"Chapai
Nawabganj",500,400,480,375,460,0,520,415
Bogura,513,0,480,0,400,0,569,0
Joypurhat,576,385,564,379,525,360,614,400
Pabna,542,0,0,0,0,0,556,415
Sirajganj,0,0,0,0,0,0,433,300
"Rajshahi
Division",507,377,472,351,475,360,522,384
Rangpur,395,300,0,0,0,0,400,320
Gaibandha,0,0,0,0,0,0,379,300
Kurigram,448,350,0,0,0,0,468,366
Nilphamari,438,342,0,0,0,0,468,360
Lalmonirhat,451,296,450,300,0,0,462,305
Dinajpur,474,397,0,0,0,0,502,416
Thakurgaon,400,308,0,0,0,0,460,345
Panchagar,387,318,0,0,0,0,398,335
"Rangpur
Division",428,330,450,315,-,0,442,349
BANGLADESH,496,377,475,363,463,367,533,402
