Variety,2020-21,2021-22,"Percentage (%) changes
over previous year"
,Total Production (M.Ton),Total Production (M.Ton),
Local Potato,"7,96,432","7,98,788",(+)0.30
High Yielding Variety,"90,90,810","93,46,047",(+)2.81
Total Potato,"98,87,242","101,44,835",(+)2.61
