District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,3,4,4.32,0,0,0.00,51,54,53.50,51,54,53.50
2,Barishal,3,6,6.51,0,0,0.00,235,240,235.00,235,240,235.00
3,Bhola,2,4,3.30,0,0,0.00,53,78,73.55,53,78,73.55
4,Jhallokati,1,1,1.49,0,0,0.00,20,26,26.00,20,26,26.00
5,Patuakhali,6,16,16.78,0,0,0.00,160,232,251.28,160,232,251.28
6,Pirojpur,1,1,0.92,0,0,0.00,19,11,10.99,19,11,10.99
1,Barishal Division,16,33,33.33,0,0,0.00,538,641,650.32,538,641,650.32
7,Bandarban,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Brahmanbaria,1,1,1.44,0,0,0.00,35,35,34.81,35,35,34.81
9,Chandpur,7,8,7.90,9,0,0.00,16,157,165.21,25,157,165.21
10,Chattogram,1,1,0.99,7,0,0.00,14,59,54.73,21,59,54.73
11,Cumilla,4,5,4.60,0,12,11.73,126,88,87.94,126,100,99.67
12,Cox’s Bazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
13,Feni,1,1,0.52,0,0,0.00,7,7,6.98,7,7,6.98
14,Khagrachari,1,1,0.86,0,0,0.00,16,17,15.28,16,17,15.28
15,Lakshmipur,2,2,2.05,0,0,0.00,76,69,38.00,76,69,38.00
16,Noakhali,4,4,4.62,0,0,0.00,51,55,87.07,51,55,87.07
17,Rangamati,0,0,0.06,0,0,0.00,0,0,0.00,0,0,0.00
2,"Chattogram
Division",21,22,23.04,16,12,11.73,341,487,490.02,357,499,501.75
18,Dhaka,3,3,2.55,0,0,0.00,71,73,71.86,71,73,71.86
19,Faridpur,1,1,0.75,0,0,0.00,38,38,40.25,38,38,40.25
20,Gazipur,2,2,2.33,0,0,0.00,66,67,61.00,66,67,61.00
21,Gopalganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
22,Kishoreganj,0,0,0.10,0,0,0.00,2,3,2.40,2,3,2.40
23,Madaripur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
24,Manikganj,0,0,0.10,0,0,0.00,3,3,2.55,3,3,2.55
25,Munshiganj,1,1,0.91,0,0,0.00,22,24,26.17,22,24,26.17
26,Narayanganj,1,1,1.02,7,7,6.74,22,22,20.76,29,29,27.50
27,Narsingdi,0,1,0.64,0,0,0.00,10,11,10.00,10,11,10.00
28,Rajbari,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
29,Shariatpur,2,2,1.97,24,0,0.00,0,49.50,28.99,24,49.50,28.99
30,Tangail,1,2,1.76,0,0,0.00,30,0,33.76,30,0,33.76
3,Dhaka Division,11,12,12.13,31,7,6.74,264,290.50,297.74,295,297.50,304.48
31,Bagerhat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
32,Chuadanga,0,0,0.22,0,0,0.00,8,8,8.00,8,8,8.00
33,Jashore,1,1,0.82,0,0,0.00,30,30,27.00,30,30,27.00
34,Jhenaidah,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
35,Khulna,0,1,1.08,0,0,0.00,0,61,53.00,0,61,53.00
36,Kushtia,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
37,Magura,,0,0.13,0,0,0.00,0,2,2.00,0,2,2.00
38,Meherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
39,Narail,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
40,Satkhira,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4,Khulna Division,1,2,2.25,0,0,0.00,38,101,90.00,38,101,90.00
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
41,Jamalpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
42,Mymensingh,2,2,1.74,0,0,0.00,41,39,28.00,41,39,28.00
43,Netrokona,0,0,0.30,0,0,0.00,14,9,8.00,14,9,8.00
44,Sherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5,"Mymensingh
Division",2,2,2.03,0,0,0.00,55,48,36.00,55,48,36.00
45,Bogura,0,0,0.35,0,0,0.00,19,19,17.87,19,19,17.87
46,Joypurhat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
47,Naogaon,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
48,Natore,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
