District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,10,38.04,26.58,0,0,0.00,7,13,10.00,7,13,10.00
2,Barishal,111,111.28,113.00,0,0,7.98,140,146,121.02,140,146,129.00
3,Bhola,2,1.51,2.67,0,0,0.00,2,2.02,3.38,2,2.02,3.38
4,Jhallokati,23,25,26.00,0,0,0.00,16,16,17.00,16,16,17.00
5,Patuakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6,Pirojpur,5,5.11,5.09,0,0,0.00,13,13,12.99,13,13,12.99
1,Barishal Division,151,180.94,173.34,0,0,7.98,178,190.02,164.39,178,190.02,172.37
7,Bandarban,32,32.20,33.40,0,0,0.00,2,2.40,4.11,2,2.40,4.11
8,Brahmanbaria,9,20.03,26.04,0,0,0.00,37,37.58,36.45,37,37.58,36.45
9,Chandpur,21,12.66,12.75,32,0,0.00,10,44,42.44,42,44,42.44
10,Chattogram,42,44.51,43.69,0,0,0.00,154,164.83,165.94,154,164.83,165.94
11,Cumilla,43,43.90,43.24,13,13.03,12.99,43,45.90,45.28,56,58.93,58.27
12,Cox’s Bazar,13,11.87,12.74,0,0,0.00,65,55,56.17,65,55,56.17
13,Feni,2,1.97,1.99,0,0,0.00,3,3.34,3.38,3,3.34,3.38
14,Khagrachari,52,49.06,51.34,5,5.67,6.07,54,54.72,54.09,59,60.39,60.16
15,Lakshmipur,13,12.70,10.31,0,0,0.00,17,14,13.25,17,14,13.25
16,Noakhali,1,1.39,0.71,0,0,0.00,3,0.43,0.15,3,0.43,0.15
17,Rangamati,113,114.59,109.66,1,1.47,1.40,153,230.56,218.19,154,232.03,219.59
2,"Chattogram
Division",351,344.88,345.87,51,20.17,20.46,541,652.76,639.45,592,672.93,659.91
18,Dhaka,27,25.92,27.08,0,0,0.00,110,108.51,107.14,110,108.51,107.14
19,Faridpur,2,20,7.00,0,0,0.00,62,48.29,25.77,62,48.29,25.77
20,Gazipur,44,16,16.00,0,0,0.00,81,80.98,81.18,81,80.98,81.18
21,Gopalganj,2,1.89,3.22,0,0,0.00,16,16,16.49,16,16,16.49
22,Kishoreganj,22,28.29,22.37,0,0,0.00,66,71.87,76.10,66,71.87,76.10
23,Madaripur,8,9.63,11.49,0,0,0.00,103,153.56,44.42,103,153.56,44.42
24,Manikganj,41,41.16,41.78,0,49.04,0.00,81,39.08,91.04,81,88.12,91.04
25,Munshiganj,22,22.44,22.79,0,0,0.00,122,122.15,126.71,122,122.15,126.71
26,Narayanganj,5,5.10,5.12,0,0,0.00,31,30.52,28.93,31,30.52,28.93
27,Narsingdi,1,1,22.51,0,0,0.05,6,6.08,29.33,6,6.08,29.38
28,Rajbari,9,9.23,7.57,0,0,0.00,23,25.89,19.62,23,25.89,19.62
29,Shariatpur,14,20.12,10.61,0,0,0.00,57,36.78,15.00,57,36.78,15.00
30,Tangail,45,44.39,51.48,18,0,0.00,359,259.70,274.98,377,259.70,274.98
3,Dhaka Division,242,245.17,249.02,18,49.04,0.05,1117,999.41,936.71,1135,"1048.4
5",936.76
31,Bagerhat,50,62.20,54.58,0,0,0.00,1431,1218,1139.76,1431,1218,"1139.7
6"
32,Chuadanga,5,5.85,5.67,0,0,0.00,11,11.39,11.34,11,11.39,11.34
33,Jashore,41,46.51,41.88,0,0,0.00,372,364,353.02,372,364,353.02
34,Jhenaidah,23,26.86,26.75,0,0,0.00,119,124,128.52,119,124,128.52
35,Khulna,15,14.36,14.52,11,0,4.96,34,98,86.86,45,98,91.82
36,Kushtia,17,16,15.00,0,0,0.00,126,123.53,134.00,126,123.53,134.00
37,Magura,16,50.16,50.13,0,0,0.00,0,269,207.07,0,269,207.07
38,Meherpur,27,27.27,26.42,0,0,0.00,0,31,34.74,0,31,34.74
39,Narail,42,42,52.00,0,0,0.00,0,31,29.94,0,31,29.94
