District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,178,268.50,703.13,0,0,0,240,320.63,77.84,,320.63,77.84
2,Barishal,564,841,964,0,0,0,564,941,960,564,941,960
3,Bhola,192,138.78,141.99,0,0,0,158,201.98,276.08,160,201.98,276.08
4,Jhallokati,219,220.38,237.00,0,0,0,238,243,276,238,243,276
5,Patuakhali,409,263.18,264.00,0,0,0,688,650,821,688,650,821
6,Pirojpur,154,73.60,73.90,0,0,0,217,212.55,212,217,212.55,212
1,Barishal Division,1716,1805.44,2384.02,0,0,0,2105,2569.16,2622.92,2107,"2569.1
6","2622.9
2"
7,Bandarban,0,0.00,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,11,10.30,10.18,0,0,0,33,26.70,26.28,33,26.70,26.28
9,Chandpur,25,23.64,32.70,0,0,0,170,163.22,189.69,170,163.22,189.69
10,Chattogram,1597,1198.22,955.85,38,38.19,36.07,150,192.49,186.11,194,230.68,222.18
11,Cumilla,103,99,241,113,189.22,116.43,107,106.78,256.57,298,296,373
12,Cox’s Bazar,632,628.29,413.92,257,256.85,183.26,348,340,132.68,614,596.85,315.94
13,Feni,20,18.89,20.89,5,17.36,5.28,42,55.05,64.33,55,72.41,69.61
14,Khagrachari,29,23.83,24.74,0,0,0,25,26.77,25.82,25,26.77,25.82
15,Lakshmipur,13,13.17,15.93,0,0,0,44,42.46,46.29,44,42.46,46.29
16,Noakhali,73,61.73,61.73,0,0,0,593,620.82,897.33,593,620.82,897.33
17,Rangamati,108,105.05,105.16,92,88.06,88.96,271,257.60,261.50,366,345.66,350.46
2,"Chattogram
Division",2611,2182.12,1882.10,505,589.68,430,1783,1831.89,2086.6,2392,"2421.5
7",2516.6
18,Dhaka,22,23.16,17.56,0,0,0,120,120.78,124.13,120,120.78,124.13
19,Faridpur,56,71.08,74,295,0,0,273,348.53,362.20,273,348.53,362.20
20,Gazipur,19,19.37,31,34,0,0,73,69.43,79.54,73,69.43,79.54
21,Gopalganj,212,23.89,141.09,306,287.43,264.04,265,301.2,456.86,560,588.63,720.90
22,Kishoreganj,7,8.55,8.99,0,0,0,28,49.53,53.01,28,49.53,53.01
23,Madaripur,25,23.89,31,0,0,0,230,190.86,238.32,230,190.86,238.32
24,Manikganj,20,17.99,20,0,0,0,49,47.47,47,49,47.47,47
25,Munshiganj,6,6.32,6.52,0,0,0,25,27.09,26.13,25,27.09,26.13
26,Narayanganj,9,9.56,10.17,14,14.43,14.17,102,111.09,125.51,116,125.52,139.68
27,Narsingdi,4,4.21,5.71,0,5.54,5.10,500,38.54,32.35,506,44.08,37.45
28,Rajbari,82,74.56,77.25,139,0,0,255,295.29,307.11,255,295.29,307.11
29,Shariatpur,282,87.66,83.36,243,0,0,301,389.54,380,313,389.54,380
30,Tangail,13,13.18,12.74,51,0,0,52,67.50,38.60,52,67.50,38.60
3,Dhaka Division,757,383.42,519.39,1082,307.40,283.31,2273,2056.85,2270.76,2600,"2364.2
5","2554.0
7"
31,Bagerhat,33,63.10,69,0,17.64,20.24,289,284.71,316.76,289,302.35,337
32,Chuadanga,32,11.94,19,0,0,0,43,39.54,39,43,39.54,39
33,Jashore,186,188.37,185,0,0,0,982,848.28,925.27,982,848.28,925.27
34,Jhenaidah,59,47.36,54,0,0,0,755,731.60,717,755,731.6,717
35,Khulna,25,912.10,111,0,0,12.33,618,579,610.67,618,579,623
36,Kushtia,34,26,19,0,0,0,345,371,370,345,371,370
37,Magura,27,17.28,73,0,0,0,1003,1075.46,1066.53,1003,"1075.4
6","1066.5
3"
