District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund
)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,1544,625,205.89,18.991,11866,2095,848,222.25,20.499,17380
2,Barishal,1530,619,217.75,20.085,12436,1674,677,214.74,19.807,13418
3,Bhola,14227,5757,224.81,20.736,119387,13330,5395,245.54,22.648,122174
4,Jhalokathi,1023,414,203.24,18.747,7761,1081,437,165.28,15.245,6669
5,Patuakhali,1064,431,235.04,21.680,9335,1142,462,175.73,16.209,7491
6,Pirojpur,2207,893,185.48,17.109,15280,2258,914,210.20,19.388,17717
1,"Barishal
Division",21595,8739,218.42,20.147,176065,21580,8733,229.48,21.166,184850
7,Bandarban,219,89,125.26,11.554,1024,325,132,131.26,12.107,1592
8,"Brahmanbari
a",2746,1111,167.51,15.451,17170,2395,969,211.71,19.527,18926
9,Chandpur,24872,10065,226.17,20.862,209978,19602,7933,224.96,20.749,164601
10,Chattogram,2981,1206,198.00,18.263,22032,3665,1483,173.39,15.993,23721
11,Cumilla,25235,10212,182.42,16.826,171833,25173,10187,170.82,15.756,160510
12,Cox’s Bazar,448,181,206.02,19.003,3445,475,192,205.36,18.942,3641
13,Feni,591,239,205.64,18.968,4535,584,236,175.99,16.233,3835
14,Khagrachari,456,185,164.51,15.174,2803,476,193,176.72,16.300,3140
15,Laxmipur,471,191,214.05,19.744,3763,235,95,206.60,19.056,1812
16,Noakhali,484,196,232.64,21.459,4203,574,232,219.80,20.273,4708
17,Rangamati,198,80,145.22,13.395,1074,177,71,131.93,12.169,869
2,"Chattogram
Division",58702,23755,201.65,18.601,441860,53680,21724,193.32,17.831,387354
18,Dhaka,3229,1307,227.54,20.988,27425,2109,854,199.16,18.370,15682
19,Faridpur,883,357,251.26,23.176,8282,532,215,251.25,23.174,4992
20,Gazipur,517,209,179.20,16.529,3458,354,143,241.37,22.263,3185
21,Gopalgonj,748,303,269.19,24.830,7516,681,275,296.47,27.345,7531
22,Kishoregonj,9552,3865,229.18,21.139,81714,10903,4412,226.35,20.878,92120
23,Madaripur,1680,680,303.20,27.967,19014,830,336,269.09,24.820,8338
24,Manikgonj,3889,1574,202.44,18.673,29387,3817,1545,218.36,20.141,31110
25,Munsigonj,88589,35850,344.81,31.805,1140215,85528,34613,348.18,32.115,1111577
26,Narayangonj,5947,2407,280.31,25.856,62225,4565,1847,279.04,25.738,47548
27,Narsingdi,3327,1346,134.82,12.436,16743,3293,1333,161.71,14.915,19877
28,Rajbari,424,172,190.20,17.544,3010,355,144,195.65,18.046,2593
29,Shariatpur,5677,2297,300.97,27.761,63778,5365,2171,310.14,28.606,62109
30,Tangail,5506,2228,185.95,17.152,38217,5553,2247,166.05,15.316,34419
3,"Dhaka
Division",129968,52595,309.39,28.538,1500985,123885,50135,311.63,28.744,1441080
31,Bagerhat,908,367,169.15,15.602,5733,890,360,189.85,17.511,6307
32,Chuadanga,7061,2857,234.23,21.605,61736,6419,2598,211.37,19.496,50645
33,Jashore,4893,1980,254.07,23.435,46404,3941,1595,244.31,22.534,35940
34,Jhenaidah,4358,1764,235.90,21.759,38374,3794,1535,240.23,22.158,34021
35,Khulna,1407,569,202.14,18.645,10616,1500,607,210.62,19.427,11796
36,Kushtia,5123,2073,227.56,20.990,43516,4120,1667,233.66,21.552,35934
37,Magura,75,30,143.87,13.271,403,101,41,277.33,25.580,1042
38,Meherpur,3221,1303,260.32,24.012,31299,2964,1200,254.85,23.506,28196
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund
)","Hectors
(M. Ton)",(M. Ton)
39,Narail,129,52,195.48,18.031,941,118,48,169.35,15.620,746
40,Satkhira,5672,2295,191.28,17.644,40498,5197,2103,241.86,22.308,46918
4,"Khulna
division",32847,13292,227.98,21.028,279520,29044,11754,232.02,21.401,251546
41,Jamalpur,10744,4348,217.93,20.102,87400,11126,4503,254.83,23.504,105832
42,Mymensingh,2776,1123,133.50,12.314,13833,3433,1389,133.93,12.353,17162
43,Netrokona,1954,791,172.41,15.903,12575,2491,1008,177.93,16.412,16544
44,Sherpur,9440,3820,196.20,18.097,69135,9189,3719,198.98,18.353,68250
5,"Mymensingh
Division",24914,10082,196.72,18.145,182943,26239,10619,212.15,19.568,207789
45,Bogura,111692,45199,251.89,23.234,1050172,110140,44573,245.61,22.654,1009761
46,Joypurhat,83972,33982,280.71,25.893,879872,85745,34701,289.33,26.687,926040
47,Naogaon,26234,10616,217.32,20.046,212810,28717,11622,236.23,21.789,253222
48,Natore,1112,450,269.43,24.852,11188,1431,579,259.03,23.892,13836
49,"Chapai
Nawabganj",2500,1012,198.92,18.348,18563,2035,824,205.07,18.915,15577
50,Pabna,1844,746,156.3,14.417,10758,1794,726,155.21,14.316,10394
51,Rajshahi,81092,32816,287.84,26.550,871277,82907,33552,284.54,26.245,880566
52,Sirajganj,6532,2643,143.6,13.246,35013,6330,2562,156.14,14.402,36893
6,"Rajshahi
Division",314978,127465,262.786,24.239,3089653,319099,129138,264.15,247.364,3146288
53,Dinajpur,97606,39499,215.29,19.858,784382,101270,40983,232.86,21.478,880244
54,Gaibandha,18406,7449,209.91,19.362,144218,19455,7873,236.71,21.833,171900
55,Kurigram,27618,11176,282.56,26.063,291293,21044,8516,288.77,26.635,226834
56,Lalmonirhat,10442,4226,212.27,19.580,82737,10435,4223,260.19,23.999,101347
57,Nilphamari,49335,19965,216.63,19.982,398934,49295,19949,218.93,20.193,402843
58,Panchagarh,23121,9357,234.63,21.642,202496,22953,9289,239.83,22.121,205480
59,Rangpur,112762,45632,227.87,21.019,959129,107960,43691,262.93,24.252,1059572
60,Thakurgaon,55713,22546,239.64,22.104,498360,64301,26022,254.33,23.458,610439
7,"Rangpur
Division",395003,159849,227.988,21.030,3361550,396713,160548,247.07,22.789,3658658
61,Habiganj,2369,959,181.93,16.781,16088,2178,881,134.38,12.395,10923
62,Moulvibazar,1760,712,171.64,15.832,11276,1782,721,234.49,21.628,15600
63,Sunamganj,3032,1227,196.16,18.094,22201,3459,1400,188.89,17.422,24389
64,Sylhet,1647,667,141.01,13.007,8669,2050,829,229.65,21.182,17570
8,"Sylhet
Division",8808,3564,177.121,16.338,58234,9468,3832,193.76,17.872,68481
Bangladesh,,986815,399342,246.797,22.764,9090810,979708,396482,255.57,23.572,9346047
