District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,36,36.68,39.78,0,0,0.00,3,11,11.00,17,11,11.00
2,Barishal,148,140.42,142.13,0,0,0.00,65,72,75.00,70,72,75.00
3,Bhola,6,4.05,4.32,0,0,0.00,7,7.30,9.72,9,7.30,9.72
4,Jhallokati,65,19,22.00,0,0,0.00,25,29,30.00,25,29,30.00
5,Patuakhali,95,34.95,31.81,0,0,0.00,50,37.80,34.39,35,37.80,34.39
6,Pirojpur,84,24.35,23.76,0,0.55,0.54,52,48.91,48.22,52,49.46,48.76
1,Barishal Division,434,259.45,263.80,0,0.55,0.54,202,206.01,208.33,208,206.56,208.87
7,Bandarban,0,0,0.25,0,0,0.00,0,0,0.21,0,0,0.21
8,Brahmanbaria,4,1.74,2.73,0,0,0.00,3,2.98,2.94,3,2.98,2.94
9,Chandpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
10,Chattogram,1,1.25,1.24,0,0,0.00,3,3,3.09,6,3,3.09
11,Cumilla,2,1.92,1.92,0,0,0.00,0,0.69,0.72,1,0.69,0.72
12,Cox’s Bazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
13,Feni,1,0.90,0.96,0,0,0.00,1,1.10,1.16,1,1.10,1.16
14,Khagrachari,200,212.45,180.05,77,80.99,85.76,59,71.94,79.29,141,152.93,165.05
15,Lakshmipur,0,0,1.00,0,0,0.00,0,0,0.34,0,0,0.34
16,Noakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
17,Rangamati,80,78.04,78.28,3,3.26,22.62,61,64.27,55.68,70,67.53,78.30
2,"Chattogram
Division",288,296.30,266.43,80,84.25,108.38,127,143.98,143.43,221,228.23,251.81
18,Dhaka,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
19,Faridpur,0,0.51,0.46,0,0,0.00,1,0.71,0.60,1,0.71,0.60
20,Gazipur,34,7,7.00,0,0,0.00,0,8,10.00,8,8,10.00
21,Gopalganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
22,Kishoreganj,25,14.72,10.81,0,0,0.00,4,50.26,40.22,49,50.26,40.22
23,Madaripur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
24,Manikganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
25,Munshiganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
26,Narayanganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
27,Narsingdi,2,6.75,1.62,0,0,0.00,1,1.68,1.63,2,1.68,1.63
28,Rajbari,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
29,Shariatpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
30,Tangail,6,3.49,4.09,0,0,0.00,17,9.12,10.60,0,9.12,10.60
3,Dhaka Division,67,32.47,23.98,0,0,0.00,23,69.77,63.05,60,69.77,63.05
31,Bagerhat,20,15.80,9.47,0,0,1.56,0,13.75,11.28,14,13.75,12.84
32,Chuadanga,4,3.80,3.80,0,0,0.00,0,4,4.00,4,4,4.00
33,Jashore,10,9.98,12.23,0,0,0.00,10,23,19.00,20,23,19.00
34,Jhenaidah,3,2.68,2.73,0,0,0.00,8,4.54,4.77,4,4.54,4.77
35,Khulna,9,9.70,7.65,0,0,0.00,6,17,12.00,2,17,12.00
36,Kushtia,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
37,Magura,3,2.42,2.46,0,0,0.00,33,29,23.00,33,29,23.00
38,Meherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
39,Narail,80,73,70.00,17,0,0.00,19,35,33.00,36,35,33.00
40,Satkhira,26,26.50,8.08,0,0,0.00,57,24.50,6.00,57,24.50,6.00
4,Khulna Division,155,143.88,116.42,17,0,1.56,153,150.79,113.05,170,150.79,114.61
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
41,Jamalpur,3,3,3.00,0,0,0.00,6,6,6.00,6,6,6.00
42,Mymensingh,13,13,13.00,0,0,0.00,12,12,9.00,12,12,9.00
43,Netrokona,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
44,Sherpur,2,2,4.00,0,0,0.00,2,2,5.00,2,2,5.00
5,"Mymensingh
Division",18,18,20,0,0,0.00,20,20,20.00,20,20,20.00
45,Bogura,24,24,24.00,6,5.70,6.89,23,24.3,28.11,29,30,35.00
46,Joypurhat,56,6.89,1.00,0,0,0.00,0,4.37,3.00,0,4.37,3.00
47,Naogaon,9,9,6.00,0,0,0.00,89,68,8.00,89,68,8.00
48,Natore,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
49,Chapai Nawabganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
50,Pabna,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
51,Rajshahi,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
52,Sirajganj,3,1.92,2.00,0,0,0.00,0,4.75,5.00,0,4.75,5.00
6,Rajshahi Division,92,41.81,33.00,6,5.70,6.89,112,101.42,44.11,118,107.12,51.00
53,Dinajpur,38,28.39,31.00,0,0,2.38,66,68.50,73.62,66,68.50,76.00
54,Gaibandha,3,3.01,2.50,0,0,0.00,10,9.32,6.84,10,9.32,6.84
55,Kurigram,11,10.44,11.42,0,1.29,1.19,38,37.71,40.10,38,39,41.29
56,Lalmonirhat,36,33.59,34.24,26,16.92,17.04,67,59.16,60.40,93,76.08,77.44
57,Nilphamari,15,12.63,12.81,75,37.48,39.46,81,57.75,58.68,156,95.23,98.14
58,Panchagar,126,123.85,120.07,126,130.31,16.99,90,93.23,200.81,216,223.54,217.80
59,Rangpur,5,5.06,8.72,0,0,0.00,24,27.76,34.00,24,27.76,34.00
60,Tahkurgaon,9,8.78,9.07,7,7.83,8.07,14,14.09,14.72,21,21.92,22.79
7,"Rangpur
Division",243,225.75,229.83,234,193.83,85.13,390,367.52,489.17,624,561.35,574.30
61,Habigonj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
62,Moulvibazar,49,148.32,144.81,0,0,0.00,306,172.35,100.23,306,172.35,100.23
63,Sunamganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
64,Sylhet,46,67.17,69.04,49,41.99,60.34,38,43.05,40.08,87,85.04,100.42
8,Sylhet Division,95,215.49,213.85,49,41.99,60.34,344,215.4,140.31,393,257.39,200.65
BANGLADESH,,1392,"1233.1
5","1167.3
1",386,326.32,262.84,1428,"1274.8
9","1221.4
5",1814,"1601.2
1","1484.2
9"
