Item,Year,Area ‘000’ Acres,Production ‘000’ Metric Tons
Major cereals,2021-22,29669,39230
,2020-21,29725,38693
,2019-20,29034,37632
Aus Rice,2021-22,2864,3000
,2020-21,3225,3285
,2019-20,2706,2755
Aman Rice,2021-22,14132,14958
,2020-21,13859,14438
,2019-20,13739,14203
Boro Rice,2021-22,11895,20186
,2020-21,11828,19885
,2019-20,11768,19645
Wheat,2021-22,778,1086
,2020-21,813,1085
,2019-20,821,1029
Minor cereals,2021-22,1184,4263
,2020-21,1188,4118
,2019-20,1167,4015
Total cereals,2021-22,30853,43493
,2020-21,30913,42811
,2019-20,30202,41649
Potato,2021-22,1147,10145
,2020-21,1158,9887
,2019-20,1140,9606
Jute (bales),2021-22,1783,8432
,2020-21,1686,7725
,2019-20,1679,8045
Maize,2021-22,1182,4262
,2020-21,1186,4116
,2019-20,1166,4015
Pulses,2021-22,926,432
,2020-21,919,425
,2019-20,882,397
Oil Seeds,2021-22,1236,1034
,2020-21,1234,996
,2019-20,1183,972
Spices & Condiments,2021-22,1084,4005
,2020-21,1060,3594
,2019-20,1046,2998
Chillies,2021-22,243,625
,2020-21,247,493
,2019-20,239,158
Onion,2021-22,508,2517
,2020-21,480,2269
,2019-20,458,1954
Drugs & Narcotics,2021-22,391,825
,2019-20,398,719
,2018-19,431,747
Tea,2021-22,140,98
,2020-21,136,90
,2019-20,147,90
Tobacco,2021-22,100,93
,2020-21,100,89
,2019-20,100,86
Vegetables,2021-22,1125,6010
,2020-21,1120,4587
,2019-20,1111,4574
Tomato,2021-22,73,442
,2020-21,73,448
,2019-20,70,415
Sweet Potato,2021-22,72,304
,2020-21,66,280
,2019-20,61,246
Sugar Crops (Temporary),2021-22,179,3087
,2020-21,192,3333
,2019-20,213,3683
Sugar Crops (Permanent),2021-22,200,471
,2020-21,193,474
,2019-20,240,472
Fruits (Temporary),2021-22,205,1634
,2020-21,207,1429
,2019-20,198,1332
Fruits (Permanent),2021-22,671,3700
,2020-21,789,3714
,2019-20,811,3644
