District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,234,214.44,276.20,0,0,0.00,91,136,136.00,91,136,136.00
2,Barishal,286,281.00,281.00,0,0,0.00,240,247,245.00,240,247,245.00
3,Bhola,77,21.09,21.09,0,0,0.00,162,184.20,183.90,162,184.20,183.90
4,Jhallokati,57,56.38,92.08,0,0,0.00,53,55,79.00,53,55,79.00
5,Patuakhali,343,346.67,356.10,0,0,0.00,205,162.55,176.38,205,162.55,176.38
6,Pirojpur,77,76.57,80.93,0,0,0.00,178,177,175.25,178,177,175.25
1,Barishal Division,1074,996.15,1107.40,0,0,0.00,929,961.75,995.53,929,961.75,995.53
7,Bandarban,775,756.00,757.05,46,47.03,49.98,656,664.97,729.69,702,712,779.67
8,Brahmanbaria,617,629.74,630.04,0,0,0.00,108,106.58,110.85,108,106.58,110.85
9,Chandpur,34,43.73,35.25,0,0,0.00,106,113.48,130.78,106,113.48,130.78
10,Chattogram,14,26.13,25.73,0,0,0.00,169,117.20,170.68,169,117.20,170.68
11,Cumilla,300,312.30,312.26,8,9,9.15,127,130.97,130.83,135,139.97,139.98
12,Cox’s Bazar,118,21.69,22.00,14,0,0.00,362,61.84,163.23,376,61.84,163.23
13,Feni,70,70.16,79.50,0,0,0.00,25,21.60,21.60,25,21.60,21.60
14,Khagrachari,456,115.75,116.32,0,0,0.00,1095,262.60,268.83,1095,262.60,268.83
15,Lakshmipur,40,42.42,24.82,0,0,0.00,77,79.25,115.17,77,79.25,115.17
16,Noakhali,35,24.85,24.88,0,0,0.00,59,60.38,90.82,59,60.38,90.82
17,Rangamati,524,523.90,523.09,21,21.89,22.85,366,372.63,389.92,387,394.52,412.77
2,"Chattogram
Division",2983,2566.67,2550.94,89,77.92,81.98,3150,1991.50,2322.40,3239,"2069.4
2",2404.38
18,Dhaka,13,19.80,19.87,0,0,0.00,114,188.66,192.34,114,188.66,192.34
19,Faridpur,155,156.00,156.50,0,0,0.00,238,226.72,224.62,238,226.72,224.62
20,Gazipur,64,52.00,51.00,0,0,0.00,159,135.14,137.00,159,135.14,137.00
21,Gopalganj,35,35.27,99.78,0,0,0.00,141,141.92,206.44,141,141.92,206.44
22,Kishoreganj,49,46.19,37.75,0,0,0.00,118,128.97,120.33,118,128.97,120.33
23,Madaripur,281,36.80,31.42,0,0,0.00,308,308.43,248.28,308,308.43,248.28
24,Manikganj,18,17.97,18.49,0,0,0.00,58,58.36,64.90,58,58.36,64.90
25,Munshiganj,10,10.26,10.09,0,0,0.00,46,50.31,48.09,46,50.31,48.09
26,Narayanganj,9,10.45,11.80,0,0,0.00,95,108.40,94.76,95,108.40,94.76
27,Narsingdi,23,22.94,23.49,0,0,0.00,259,184.40,182.49,259,184.40,182.49
28,Rajbari,17,23.53,23.53,5,0,0.00,211,170.08,163.00,216,170.08,163.00
29,Shariatpur,170,31.15,29.80,0,0,0.00,175,126.10,125.10,175,126.10,125.10
30,Tangail,30,29.36,23.83,0,0,0.00,150,146.12,126.90,150,146.12,126.90
3,Dhaka Division,874,491.72,537.35,5,0,0.00,2072,1973.61,1934.25,2077,1973.61,1934.25
31,Bagerhat,355,51.63,54.49,0,0,0.00,118,145.85,181.23,118,145.85,181.23
32,Chuadanga,44,7.67,7.53,0,0,0.00,56,56.74,55.75,56,56.74,55.75
33,Jashore,355,69.29,69.34,0,0,0.00,346,346,358.66,346,346,358.66
34,Jhenaidah,248,25.67,30.99,0,0,0.00,196,187,181.92,196,187,181.92
35,Khulna,452,131.51,107.64,0,0,0.00,248,265.53,253.80,248,265.53,253.80
36,Kushtia,104,51.63,60.00,0,0,0.00,105,154.84,413.00,105,154.84,413.00
37,Magura,121,18.19,20.94,0,0,0.00,342,88,79.70,342,88,79.70
38,Meherpur,28,25.60,25.41,0,0,0.00,32,32,34.53,32,32,34.53
39,Narail,195,107.90,105.66,0,0,0.00,94,94.54,94.83,94,94.54,94.83
40,Satkhira,457,580.00,591.21,0,0,0.00,252,273,290.19,252,273,290.19
4,Khulna Division,2359,1069.09,1073.21,0,0,0.00,1789,1643.50,1943.61,1789,1643.5,1943.61
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
,,,,,,,,,,,,0,
41,Jamalpur,142,65.00,67.00,0,0,0.00,114,126,132.00,114,126,132.00
42,Mymensingh,487,216.00,202.00,0,0,0.00,382,334,400.00,382,334,400.00
43,Netrokona,135,31.00,30.00,0,0,0.00,138,108,111.00,138,108,111.00
44,Sherpur,169,57.00,60.00,0,0,0.00,339,321,339.00,339,321,339.00
5,"Mymensingh
Division",933,369.00,359.00,0,0,0.00,973,889,982.00,973,889,982.00
45,Bogura,315,94.55,92.00,0,0,0.00,378,341.20,298.00,378,341.20,298.00
46,Joypurhat,96,17.19,16.00,0,0,0.00,80,82.89,86.00,80,82.89,86.00
47,Naogaon,193,26.39,32.00,0,0,0.00,164,170.93,182.00,164,170.93,182.00
48,Natore,227,47.47,31.00,0,0,0.00,368,204.38,184.00,368,204.38,184.00
49,Chapai Nawabganj,28,13.82,14.00,0,0,0.00,22,23.47,25.00,22,23.47,25.00
50,Pabna,528,306.30,279.00,0,0,0.00,304,338,358.00,304,338,358.00
51,Rajshahi,281,71.98,67.00,0,0,0.00,211,157.38,151.00,211,157.38,151.00
52,Sirajganj,135,8.66,9.00,0,0,0.00,170,155.93,134.00,170,155.93,134.00
6,Rajshahi Division,1803,586.36,540.00,0,0,0.00,1697,1474.18,1418.00,1697,"1474.1
8",1418.00
53,Dinajpur,210,18.36,18.00,0,0,0.00,215,53.76,58.00,215,53.76,58.00
54,Gaibandha,65,23.34,11.96,3,2.64,2.86,21,24.83,26.07,24,27.47,28.93
55,Kurigram,42,17.19,11.77,0,0,0.00,16,30.62,32.77,16,30.62,32.77
56,Lalmonirhat,57,9.50,9.70,0,0,0.00,34,33.87,35.27,34,33.87,35.27
57,Nilphamari,50,5.83,6.53,0,0,0.00,30,31.58,33.84,30,31.58,33.84
58,Panchagar,33,10.55,10.61,0,0,0.00,31,29.58,29.78,31,29.58,29.78
59,Rangpur,141,19.98,19.77,0,0,0.00,121,119.30,119.30,121,119.30,119.30
60,Thakurgaon,30,5.14,5.22,0,0,0.00,41,42.28,46.93,41,42.28,46.93
7,Rangpur Divison,628,109.89,93.56,3,2.64,2.86,509,365.82,381.96,512,368.46,384.82
61,Habiganj,2,23.10,30.07,0,0,0.00,4,16.04,17.70,4,16.04,17.70
62,Moulvibazar,35,40.00,64.60,0,0,0.00,154,120.64,134.36,154,120.64,134.36
63,Sunamganj,3,11.00,6.00,0,0,0.00,6,11,12.00,6,11,12.00
64,Sylhet,580,17.01,14.90,0,1.02,0.00,10,23.98,12.14,10,25,12.14
8,Sylhet Division,620,91.11,115.57,0,1.02,0.00,174,171.66,176.20,174,172.68,176.20
BANGLADESH,,11274,6279.99,6377.03,97,81.58,84.84,11293,9471.02,"10153.9
5",11390,"9552.6
0",10238.79
