District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,17220,6969,35.28,3.25,22680,20117,8141,39.57,3.650,29714
2,Barishal,130120,52657,43.21,3.99,209855,130771,52944,44.04,4.061,214990
3,Bhola,93653,37899,41.49,3.83,145049,97801,39580,45.94,4.237,167712
4,Jhallokati,26405,10686,40.62,3.75,40037,26701,10806,36.47,3.364,36347
5,Patuakhali,2655,1074,35.49,3.27,3517,2684,1086,32.90,3.034,3296
6,Pirojpur,56336,22798,45.82,4.23,96361,56349,22804,45.20,4.169,95071
1,"Barishal
Division",326389,132082,42.48,3.92,517497,334423,135361,43.83,4.042,547130
7,Bandarban,15427,6243,41.88,3.86,24116,15428,6244,42.51,3.921,24483
8,Brahmanbaria,276814,112020,49.97,4.61,516316,273611,110729,42.69,3.937,435989
9,Chandpur,150393,60861,44.45,4.10,249509,152641,61773,47.81,4.410,272417
10,Chattogram,155621,62977,43.42,4.01,252243,156181,63206,43.40,4.003,253044
11,Cumilla,369206,149410,47.81,4.41,658933,371053,150224,45.43,4.189,629280
12,Cox’s Bazar,128735,52096,42.88,3.96,206041,128936,52180,45.27,4.175,217873
13,Feni,66737,27007,39.59,3.65,98612,72569,29368,37.42,3.451,101359
14,Khagrachari,26856,10868,41.49,3.83,41588,26931,10899,40.59,3.744,40803
15,Lakshmipur,76552,30979,42.09,3.88,120280,78854,31925,42.02,3.875,123692
16,Noakhali,166632,67432,50.22,4.63,312364,172539,69848,51.83,4.779,333812
17,Rangamati,17437,7056,43.29,3.99,28175,17963,7270,46.61,4.299,31254
2,"Chattogram
Division","145041
0",586949,46.33,4.27,2508177,"146670
6",593664,45.01,4.151,2464006
18,Dhaka,110401,44677,49.95,4.61,205831,103505,41888,54.36,5.014,210018
19,Faridpur,56903,23027,50.05,4.62,106298,57157,23131,48.00,4.428,102413
20,Gazipur,146748,59386,47.04,4.34,257662,142459,57676,46.59,4.296,247769
21,Gopalganj,183726,74350,53.43,4.93,366425,189515,76727,54.74,5.047,387234
22,Kishoreganj,403798,163408,46.08,4.25,694537,404788,163815,44.40,4.095,670800
23,Madaripur,80650,32637,46.13,4.26,138886,79724,32264,49.12,4.531,146174
24,Manikganj,118316,47880,52.42,4.84,231520,116930,47321,50.62,4.669,220923
25,Munshiganj,56700,22945,47.88,4.42,101346,58671,23744,48.27,4.452,105703
26,Narayanganj,49627,20083,46.65,4.30,86422,48062,19451,43.22,3.986,77533
27,Narsingdi,132083,53451,42.95,3.96,211748,134037,54266,41.58,3.833,208025
28,Rajbari,32310,13075,46.08,4.25,55573,31865,12895,48.32,4.457,57469
29,Shariatpur,64104,25941,50.39,4.65,120574,65086,26340,48.06,4.433,116768
30,Tangail,420470,170155,46.86,4.32,735536,420016,169978,45.68,4.213,716202
3,"Dhaka
Division",1855834,751015,47.82,4.41,3312358,"185181
4",749495,47.26,4.359,3267032
31,Bagerhat,145439,58856,49.50,4.57,268754,144097,58315,49.88,4.601,268314
32,Chuadanga,82100,33224,40.84,3.77,125157,86311,34930,43.36,3.999,139693
33,Jashore,388502,157218,48.48,4.47,703045,388152,157083,48.38,4.462,700934
34,Jhenaidah,197602,79965,46.08,4.25,339889,210787,85339,49.53,4.567,389737
35,Khulna,142077,57495,45.87,4.23,243273,147880,59870,43.54,4.015,240362
36,Kushtia,86620,35053,46.22,4.26,149437,87914,35578,43.90,4.050,144077
37,Magura,86301,34924,41.14,3.79,132515,90027,36448,40.97,3.777,137675
38,Meherpur,47938,19399,43.06,3.97,77060,48832,19762,44.23,4.079,80617
39,Narail,116842,47283,49.55,4.57,216119,120152,48625,48.83,4.504,219006
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
40,Satkhira,185546,75086,42.68,3.94,295593,193680,78381,40.42,3.728,292194
4,"Khulna
Division",1478967,598505,46.21,4.26,2550842,"151783
2",614332,46.11,4.253,2612610
41,Jamalpur,322186,130382,45.86,4.230,551535,319474,129289,44.01,4.059,524828
42,Mymensingh,645176,261089,44.73,4.126,1077242,643575,260451,42.63,3.932,1024213
43,Netrokona,449438,181878,44.70,4.123,749905,446323,180624,44.46,4.101,740659
44,Sherpur,225451,91235,44.82,4.134,377149,218822,88556,49.27,4.544,402440
5,"Mymensingh
Division",1642251,664583,44.96,4.147,2755831,"162819
4",658921,44.30,4.086,2692140
