District/ Division,,2020-21,,,,,2020-22,,,,
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(
Bales)",( Bales),Acres,Hectors,"Acre
s
(Maun
d)","Hectors
(Bales)",(Bales)
58,Panchagar,21056,8521,4.94,12.207,104017,21155,8561,5.18,12.800,109583
59,Rangpur,19997,8092,6.40,15.815,127981,20183,8168,6.07,15.000,122511
60,Tahkurgaon,13914,5631,5.41,13.369,75275,14567,5895,5.50,13.591,80119
7,"Rangpur
Division",168406,68150,5.16,12.743,868406,174191,70491,5.27,13.024,918084
61,Habigonj,745,301,5.42,13.393,4038,891,361,5.16,12.751,4598
62,Moulvibazar,0,0,0.00,0.000,0,0,0,0,0.000,0
63,Sunamganj,821,332,4.79,11.837,3933,1715,694,4.89,12.084,8386
64,Sylhet,0,0,0.00,0.000,0,0,0,0,0.000,0
8,"Sylhet
Division",1566,634,5.09,12.577,7970,2606,1055,4.98,12.307,12984
BANGLADESH,,"168571
1",682170,4.58,11.324,7725083,1783123,727382,4.73,11.593,8432395
