Year,Jute goods,,,,"Total value
’000’ Taka",Raw Jute,,Mestas,
,Quantity ‘000’ Metric Ton,,,,,,,,
,Hessian,Saking,Others,Total,,"Quantity
(000’M.Ton)","Value in
‘000’Tk","Quantity
(000’M.Ton)","Value in
‘000’Tk"
2018-19,-,659,-,659,54082664,179,9451147,-,-
2019-20,-,553,-,553,72591722,185,10111259,-,-
2020-21,-,668,-,668,91741721,180,12626299,-,-
2021-22,-,535,-,535,70588189,211,18656331,-,-
