District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
42,Mymensingh,0,0,0,0,0,0,0,0.00,0.000,0
43,Netrokona,0,0,0,0,0,0,0,0.00,0.000,0
44,Sherpur,0,0,0,0.000,0,0,0,0.00,0.000,0
5,"Mymensingh
Division",0,0,0,0.000,0,0,0,0,0.000,0
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
45,Bogura,0,0,0,0.000,0,0,0,0.00,0.000,0
46,Joypurhat,0,0,0,0.000,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0,0.000,0,5228,2116,13.56,1.251,2646
48,Natore,261327,10577,15.90,1.466,15510,35306,14294,14.39,1.327,18964
49,"Chapai
Nawabganj",0,0,0,0.000,0,0,0,,0.000,0
50,Pabna,84400,34155,13.44,1.240,42342,87543,35428,12.86,1.186,42023
51,Rajshahi,0,0,0,0.000,0,0,0,0.00,0.000,0
52,Sirajganj,26566,10751,14.67,1.353,14547,34486,13962,14.39,1.327,18524
6,"Rajshahi
Division",137103,55483,14.15,1.305,72400,162563,65800,13.54,1.249,82158
53,Dinajpur,0,0,0,0.0000,0,0,0,0.00,0.000,0
54,Gaibandha,0,0,0,0.000,0,0,0,0.00,0.000,0
55,Kurigram,0,0,0,0.000,0,0,0,0.00,0.000,0
56,Lalmonirhat,0,0,0,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0,0.000,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0,0.0000,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0,0.000,0,0,0,0.00,0.000,0
7,"Rangpur
Divison",0,0,0,0,0,0,0,0.00,0.000,0
61,Habiganj,54364,22000,14.69,1.355,29810,43596,17643,12.92,1.192,21025
62,Moulvibazar,1356,549,13.89,1.281,703,369,149,13.56,1.251,187
63,Sunamganj,29,16533,11.65,1.075,17766,10,4,12.98,1.197,5
64,Sylhet,15839,6410,14.78,1.363,8738,4224,1709,14.85,1.370,2341
8,"Sylhet
Division",71588,45491,21.3372,1.253,57017,48199,19506,13.09,1.208,23558
Bangladesh,,582371,242109,12.9366,1.162,281220,614084,248528,11.86,1.094,271791
