Name of Crops,Irrigated area 2019-20,Irrigated area 2020-21,Percentage of increase/decrease,
,,,2019-20,2020-21
Aman,2715,2750,(+)2.72%,(+)1.29%
Boro,11458,11503,(-)0.10%,(+)0.39%
Wheat,835,871,(-)0.60%,(+)4.31%
Sugarcane,149,128,(+)12.88%,(-)14.09%
Cotton,13,14,(-)27.28%,(+)7.69%
Potato,1073,1091,(+)2.19%,(+)1.68%
Vagetables,1276,1310,(+)5.02%,(+)2.66%
Others,1950,1962,(+)5.46%,(+)0.62%
