District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,17220,6969,35.28,3.25,22680,20117,8141,39.57,3.650,29714
2,Barishal,62300,25211,38.19,3.52,88799,64790,26231,40.19,3.705,97197
3,Bhola,86495,35003,41.93,3.87,135387,89621,36269,45.57,4.203,152446
4,Jhallokati,24269,9821,39.93,3.68,36173,23981,9705,35.38,3.263,31670
5,Patuakhali,1943,786,41.23,3.80,2990,1943,786,37.63,3.471,2729
6,Pirojpur,27218,11015,40.97,3.78,41620,27247,11027,41.12,3.793,41821
1,"Barishal
Division",219445,88805,40.00,3.69,327649,227699,92159,41.84,3.858,355578
7,Bandarban,9019,3650,37.52,3.46,12632,8964,3628,38.81,3.580,12986
8,Brahmanbaria,263678,106705,49.93,4.61,491386,246951,99940,41.47,3.825,382272
9,Chandpur,134132,54280,43.38,4.00,217191,132039,53435,46.69,4.306,230119
10,Chattogram,122285,49486,41.73,3.85,190492,121175,49039,41.65,3.842,188389
11,Cumilla,316023,127888,47.42,4.37,559360,317592,128580,44.75,4.126,530505
12,Cox’s Bazar,106991,43297,41.92,3.87,167434,98002,39661,44.91,4.142,164288
13,Feni,60349,24422,38.50,3.55,86734,61380,24840,36.10,3.330,82711
14,Khagrachari,17312,7006,38.64,3.56,24972,17253,6982,38.76,3.575,24962
15,Lakshmipur,49313,19956,40.48,3.73,74512,49938,20218,44.00,4.057,82018
16,Noakhali,39073,15812,39.78,3.67,58013,35408,14329,47.07,4.342,62212
17,Rangamati,9099,3682,37.75,3.48,12821,9438,3820,42.71,3.939,15047
2,"Chattogram
Division","112727
4",456183,45.05,4.16,1895545,"109814
0",444471,43.31,3.995,1775508
18,Dhaka,109431,44284,50.16,4.63,204905,102496,41480,54.58,5.034,208818
19,Faridpur,52340,21181,51.65,4.76,100910,47496,19221,49.01,4.520,86890
20,Gazipur,120778,48876,46.47,4.29,209488,114250,46255,46.33,4.272,197581
21,Gopalganj,75302,30473,42.57,3.93,119668,57588,23315,44.56,4.108,95787
22,Kishoreganj,333051,134778,46.49,4.29,577944,304329,123160,42.80,3.948,486199
23,Madaripur,72171,29206,45.61,4.21,122874,68420,27689,49.31,4.548,125935
24,Manikganj,114489,46331,52.98,4.89,226424,108993,44109,50.56,4.663,205699
25,Munshiganj,56056,22685,47.99,4.43,100411,57463,23255,48.35,4.460,103708
26,Narayanganj,47830,19356,46.83,4.32,83617,46806,18942,43.20,3.985,75477
27,Narsingdi,128579,52033,42.91,3.96,205923,130311,52757,41.39,3.816,201328
28,Rajbari,29415,11904,46.51,4.29,51062,28882,11688,48.76,4.497,52568
29,Shariatpur,58148,23531,52.90,4.88,114815,58217,23560,49.64,4.579,107872
30,Tangail,370511,149938,46.86,4.32,648100,379603,153623,45.32,4.180,642165
3,"Dhaka
Division","156810
0",634576,47.26,4.36,2766141,"150485
4",609056,46.11,4.253,2590026
31,Bagerhat,43188,17477,42.20,3.89,68026,23023,9317,40.61,3.746,34900
32,Chuadanga,76298,30876,40.15,3.70,114348,80682,32652,42.42,3.913,127754
33,Jashore,323523,130923,45.58,4.20,550413,323738,131015,45.99,4.242,555756
34,Jhenaidah,180070,72870,45.27,4.18,304266,190830,77259,48.71,4.491,346970
35,Khulna,57203,23149,39.26,3.62,83825,57051,23098,36.02,3.321,76707
36,Kushtia,75640,30610,45.82,4.23,129358,75227,30444,43.16,3.981,121194
37,Magura,74205,30029,39.87,3.68,110435,74626,30213,39.26,3.620,109362
38,Meherpur,45308,18335,42.64,3.93,72115,44333,17941,43.24,3.988,71555
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
39,Narail,61218,24774,46.74,4.31,106803,55575,22491,45.26,4.175,93890
40,Satkhira,143333,58004,41.82,3.86,223760,143332,58006,39.07,3.604,209033
4,"Khulna
Division","107998
6",437047,43.74,4.03,1763350,"106841
7",432435,43.81,4.040,1747122
41,Jamalpur,207202,83850,41.42,3.820,320331,195937,79295,40.70,3.754,297672
42,Mymensingh,513605,207845,43.43,4.006,832527,503417,203730,40.91,3.773,768749
43,Netrokona,350391,141796,42.22,3.894,552187.9,347198,140509,43.24,3.988,560390
44,Sherpur,117354,47491,43.53,4.015,190668.7,92687,37510,42.68,3.937,147663
