District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Producti
on",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,5200,2104,16.39,1.512,3181,1278,517,16.05,1.480,766
2,Barishal,17087,6915,13.16,1.214,8394,16420,6645,13.00,1.199,7968
3,Bhola,41529,16086,13.69,1.263,21222,39554,16007,13.88,1.280,20493
4,Jhallokati,3668,1484,18.41,1.698,2521,2757,1116,17.50,1.614,1801
5,Patuakhali,21772,8811,13.20,1.218,10728,21780,8814,13.38,1.234,10878
6,Pirojpur,6300,2549,15.25,1.407,3586,6156,2491,15.03,1.386,3454
1,"Barishal
Division",95556,38669,13.91,1.283,49631,87945,35591,13.82,1.274,45359
7,Bandarban,21999,8903,17.11,1.578,14050,21997,8902,18.21,1.680,14952
8,"Brahmanbari
a",57,23,13.11,1.209,28,49,20,13.83,1.276,26
9,Chandpur,751,304,14.87,1.372,417,722,292,15.64,1.443,422
10,Chattogram,17140,6936,14.56,1.343,9315,16559,6701,14.79,1.364,9142
11,Cumilla,4559,1845,11.97,1.104,2037,3141,1271,11.28,1.040,1323
12,Cox’s Bazar,315,127,0.00,0.000,0,252,102,12.37,1.141,116
13,Feni,5949,2407,13.26,1.223,2945,5909,2391,13.90,1.282,3066
14,Khagrachari,4004,1620,21.39,1.973,3197,3940,1594,13.38,1.234,1968
15,Lakshmipur,1571,636,13.99,1.290,820,2490,1008,13.77,1.270,1280
16,Noakhali,8724,3530,12.82,1.183,4175,8622,3489,13.78,1.271,4435
17,Rangamati,12358,5001,14.88,1.373,6864,12092,4893,14.40,1.328,6499
2,"Chattogram
Division",77427,31333,15.17,1.399,43848,75773,30665,15.28,1.410,43227
18,Dhaka,182,73,20.27,1.911,140,205,83,17.87,1.648,137
19,Faridpur,11441,4630,10.30,0.950,4399,10643,4307,10.72,0.989,4259
20,Gazipur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
21,Gopalganj,3218,1302,12.36,1.140,1485,2194,888,12.84,1.184,1052
22,Kishoreganj,37,15,19.47,1.796,27,44,18,17.89,1.650,30
23,Madaripur,915,370,13.46,1.242,460,927,375,13.22,1.219,457
24,Manikganj,1134,459,10.00,0.922,423,820,332,10.44,0.963,320
25,Munshiganj,15,6,0.00,0.00,0,4,2,13.82,1.275,2
26,Narayanganj,22,9,9.59,0.885,8,59,24,10.74,0.991,23
27,Narsingdi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
28,Rajbari,2268,918,12.83,1.183,1086,2196,889,11.79,1.087,966
29,Shariatpur,2409,975,14.03,1.294,1262,2575,1042,14.60,1.347,1403
30,Tangail,403,163,13.22,1.219,199,1688,683,13.38,1.234,843
3,"Dhaka
Division",22043,8920,11.53,1.064,9488,21355,8642,11.91,1.098,9492
31,Bagerhat,221,89,12.97,1.196,107,238,96,13.77,1.270,122
32,Chuadanga,11544,4672,14.59,1.346,6287,305,123,12.56,1.158,143
33,Jashore,37,15,11.69,1.078,16,46,19,13.20,1.218,23
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,6913,2798,10.39,1.008,2820,6647,2690,13.06,1.205,3240
36,Kushtia,2983,1207,16.84,1.553,1820,2132,863,15.26,1.408,1214
37,Magura,1043,422,13.94,1.286,543,694,281,13.67,0.000,354
,,Area,,Yield Rate,,"Producti
on",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Narail,12915,5226,14.33,1.322,6908,11739,4751,15.47,1.427,6779
40,Satkhira,0,0,0.00,0.00,0,0,0,0.00,0.000,0
4,"Khulna
Division",35656,14429,13.94,1.286,18557,21801,8823,14.59,1.346,11876
41,Jamalpur,224,91,15.63,1.442,131,209,85,15.11,1.394,118
42,Mymensingh,0,0,0.00,0.000,0,0,0,0.00,0.000,0
43,Netrokona,75,30,17.57,1.621,49,131,53,17.02,1.570,83
44,Sherpur,46,19,14.58,1.345,25,50,20,14.49,1.336,27
5,"Mymensing
h Division",345,140,15.91,1.468,205,390,158,15.67,1.446,228
45,Bogura,731,296,13.85,1.278,378,360,146,13.96,1.288,188
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Naogaon,879,356,12.87,1.187,442,256,104,11.99,1.106,115
48,Natore,688,278,13.07,0.000,336,267,108,13.19,1.217,131
49,"Chapai
Nawabganj",149,60,18.14,1.673,101,5885,2382,12.80,1.181,2812
50,Pabna,16797,6797,12.08,1.114,7574,15212,6156,11.73,1.082,6661
51,Rajshahi,171,69,18.97,1.750,121,857,347,17.75,1.637,568
52,Sirajganj,2768,1120,14.29,1.318,1476,7234,2928,13.69,1.263,3697
6,"Rajshahi
Division",22182,8977,12.57,1.159,10408,30071,12170,12.62,1.164,14171
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,49,20,16.42,1.515,30,4,2,13.89,1.281,2
55,Kurigram,1695,686,14.79,1.364,936,464,188,13.37,1.233,232
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,123,50,13.27,1.224,61,123,50,15.01,1.384,69
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
7,"Rangpur
Divison",1867,756,14.73,1.359,1027,591,239,13.71,1.265,303
61,Habiganj,886,359,14.64,1.350,484,845,342,16.91,1.560,533
62,Moulvibazar,450,182,17.38,1.603,292,433,175,17.44,1.609,282
63,Sunamganj,1000,405,19.02,1.754,710,1291,522,18.17,1.676,876
64,Sylhet,7852,3178,15.14,1.397,4437,8010,3242,16.97,1.565,5074
8,"Sylhet
Division",10188,4123,15.58,1.437,5924,10580,4282,17.13,1.580,6765
Bangladesh,,265264,"10734
7",14.05,1.296,139086,"24850
5","10056
9",14.17,1.307,131421
