District name,Oct-2022,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,550,379
Khagrachari,450,300,0,0,0,0,473,379
Rangamati,396,275,313,229,0,0,485,327
Chattogram,591,433,532,363,538,353,617,476
Cox’sbazar,613,379,585,348,550,300,672,444
Cumilla,567,363,475,336,430,348,421,388
Chandpur,0,0,0,0,0,0,575,0
Brahmmanbaria,445,375,450,0,0,0,493,408
Noakhali,542,0,600,0,525,0,622,0
Lakshmipur,0,0,0,0,0,0,488,0
Feni,0,0,580,0,538,0,575,0
"Chattogram
Division",515,354,505,319,516,334,543,400
Sylhet,445,334,430,0,400,0,463,350
Maulavi Bazar,404,331,385,325,0,0,456,381
Sunamganj,374,287,0,0,0,0,408,333
Habiganj,463,350,0,0,0,0,439,322
Sylhet Division,421,325,408,325,400,0,441,347
Dhaka,483,400,506,350,494,350,554,450
Gazipur,520,410,500,500,522,412,646,496
Manikganj,532,400,486,366,429,300,555,443
Munshiganj,450,0,0,0,505,0,517,350
Narayanganj,650,550,575,393,500,500,697,594
Narsingdi,0,0,502,0,509,0,537,0
Faridpur,500,0,0,0,550,0,567,0
Rajbari,644,425,600,400,575,0,700,425
Madaripur,363,250,400,0,450,0,462,378
Gopalganj,500,0,300,200,383,300,475,300
Shariatpur,440,390,400,325,350,0,542,450
Tangail,555,300,500,250,510,210,600,450
Kishoreganj,500,0,445,0,602,0,539,0
"Dhaka
Division",511,391,475,360,491,345,568,434
Mymensing,491,388,499,395,437,450,571,412
Jamalpur,433,0,415,0,438,0,530,0
Sherpur,458,0,488,0,530,0,536,0
Netrokona,460,308,400,304,0,0,507,373
"Mymensing
Division",461,348,451,350,468,450,536,393
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,505,400,450,0,0,0,529,0
Jhalokathi,584,450,0,0,0,0,655,500
Perojpur,552,0,514,440,480,380,594,300
Bhola,512,0,448,0,0,0,583,398
Patuakhali,550,0,500,0,0,0,650,0
Barguna,610,407,680,430,0,0,640,387
"Barishal
Division",552,419,518,435,480380,380,609,425
Jashore,0,0,0,0,0,0,357,274
Jhenaidah,364,257,381,235,346,212,385,285
Magura,405,0,287,0,341,0,442,0
Narail,430,0,0,0,425,271,489,365
Khulna,0,0,0,0,0,0,459,333
Bagerhat,500,0,454,0,463,0,503,333
Satkhira,0,0,0,0,0,0,399,323
Kushtia,467,400,0,0,0,0,525,450
Chuadanga,300,0,0,0,0,0,363,0
Meherpur,350,0,0,0,0,0,400,0
Khulna Division,402,329,374,235,394,242,432,338
Rajshahi,458,396,438,397,0,0,478,398
Naogaon,450,355,378,306,0,0,458,327
Natore,372,292,442,317,0,0,411,305
"Chapai
Nawabganj",490,400,500,400,0,0,452,350
Bogura,413,0,431,0,0,0,471,350
Joypurhat,496,328,490,334,465,350,540,346
Pabna,532,350,0,0,0,0,552,380
Sirajganj,458,396,438,397,0,0,478,398
"Rajshahi
Division",459,260,445,359,465,350,480,357
Rangpur,385,228,0,0,0,0,410,260
Gaibandha,0,0,0,0,0,0,370,300
Kurigram,320,225,0,255,0,0,364,260
Nilphamari,378,258,0,0,0,0,407,268
Lalmonirhat,366,271,386,313,0,0,438,361
Dinajpur,375,301,0,00,0,0,422,335
Thakurgaon,408,300,0,0,0,0,445,326
Panchagar,369,267,0,0,0,0,400,387
"Rangpur
Division",372,296,386,275,0,0,407,300
BANGLADESH,467,353,445,332,459,350,502,374
