District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,1674,2120,"2187.4
3",0,0,0,959,4316,3873,959,4316,3873
2,Barishal,2258,1200,1083,0,0,0,1650,1500,1485,1650,1500,1485
3,Bhola,310,31,56.92,0,0,0,209,236.4,510,209,236.4,510
4,Jhallokati,666,503,512.48,0,0,0,389,950,518,389,950,518
5,Patuakhali,1805,468,467.56,0,0,0,3537,3096.79,2911,3537,3096.79,2911
6,Pirojpur,2374,646,669.88,0,0,0,1322,2280,1557.05,1322,2280,1557.05
1,Barishal Division,9087,4967,"4977.2
7",0,0,0,8066,"12379.1
9","10854.0
5",8066,"12379.1
9","10854.0
5"
7,Bandarban,5,131,132,0,0,0,38,38.17,38,38,38.17,38
8,Brahmanbaria,113,66,66,0,0,0,284,300.43,316,284,300.43,316
9,Chandpur,1578,218,239,0,0,0,2344,3412,3357,2344,3412,3357
10,Chattogram,572,116.60,163,0,0,0,1793,1693,1700,1793,1693,1700
11,Cumilla,1481,1002,1012,470,0,139.94,903,1834,1742.06,1373,1834,1882
12,Cox’s Bazar,48,4.48,7,0,0,0,184,113.2,118,184,113.2,118
13,Feni,825,130.63,171,0,0,0,354,329,329,354,329,329
14,Khagrachari,31,15.66,17,0,0,0,33,34.37,36,33,34.37,36
15,Lakshmipur,973,43.57,61,0,0,0,1027,1032,1135,1027,1032,1135
16,Noakhali,1967,422.38,155,0,0,0,1960,1856.78,2209,1960,1856.78,2209
17,Rangamati,16,16.31,17,0,0,0,43,42.68,48,43,42.68,48
2,"Chattogram
Division",7608,"2167.0
5",2040,0,0,139.94,8963,"10685.6
3","11028.0
6",9433,"10685.6
3",11168
18,Dhaka,207,20.43,21.10,0,0,0,196,194.49,200.91,196,194.49,200.91
19,Faridpur,921,117.00,117.00,397,97.22,99.08,6553,3155.67,3044.50,6950,3252.89,3143.58
20,Gazipur,603,210.71,250.00,120,129,94.57,993,1022.8,753.43,1113,1151.8,848
21,Gopalganj,4326,308.58,308.58,119,1.29,129.59,6527,6833.48,6705.19,6646,6834.77,6834.78
22,Kishoreganj,194,34.91,36.30,0,0,0,429,446.95,446.18,429,446.95,446.18
23,Madaripur,2447,174.95,181.25,0,0,0,8423,9495.6,9852.05,8423,9495.6,9852.05
24,Manikganj,130,43.74,45.41,0,0,0,353,345.63,351.11,353,345.63,351.11
25,Munshiganj,88,17.02,14.33,0,0,0,265,298.36,280.91,265,298.36,280.91
26,Narayanganj,112,10.66,10.24,0,0,0,108,111.75,119.41,108,111.75,119.41
27,Narsingdi,463,53.03,42.67,0,0,0,968,886.22,857.79,968,886.22,857.79
28,Rajbari,313,67.45,67.00,14,0,0,866,1819,1861.20,880,1819,1861.20
29,Shariatpur,424,118.65,188.20,0,0,0,872,748.03,706.29,872,748.03,706.29
30,Tangail,838,87.33,255.27,35,35.26,40.18,1663,1668.84,1657.80,1698,1704.1,1697.98
3,Dhaka Division,11064,"1264.4
6","1537.3
5",685,262.77,363.42,28216,"27026.8
2","26836.7
7",28901,"27289.5
9","27200.1
9"
31,Bagerhat,2022,90.15,92.34,0,66.33,56.11,3514,3201.67,2745.79,3514,3268,2801.90
32,Chuadanga,131,41.33,40.93,6,6.49,6.31,256,254.51,250.53,262,261,256.84
33,Jashore,801,205.94,196.81,64,64.44,65.33,1049,1047.56,1161.47,1113,1112,1226.80
34,Jhenaidah,910,145.04,154.93,0,0,0,877,932,953.57,877,932,953.57
35,Khulna,907,98.02,148.97,0,0,16.16,1618,1493,2585.24,1618,1493,2601.40
36,Kushtia,833,104.00,95.43,0,0,0,944,1068,1060,944,1068,1060
37,Magura,1047,120.33,139.24,0,0,0,1083,1015,841.35,1083,1015,841.35
38,Meherpur,113,39.06,36.14,0,0,0,125,122,104.16,125,122,104.16
39,Narail,1237,165.62,167.92,27,0,0,577,612,621.95,604,612,621.95
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
40,Satkhira,1382,397.25,493.80,46,109,40.23,126,2131,1276.47,172,2240,1316.70
4,Khulna Division,9025,"1406.7
4","1566.5
1",143,246.26,184.14,10169,"11876.7
4","11600.5
3",10312,12123,"11784.6
7"
41,Jamalpur,169,45,46,0,0,0,370,495,507,370,495,507
42,Mymensingh,2098,536,566,0,0,0,1486,2263,2488,1486,2263,2488
43,Netrokona,32,8,55,0,0,0,15,90,143,15,90,143
44,Sherpur,272,54,54,0,0,0,346,282,287,346,282,287
5,"Mymensingh
Division",2572,643,721,0,0,0,2217,3130,3425,2217,3130,3425
45,Bogura,1884,223.97,224,0,0,0,2991,3350.13,3397,2991,3350.13,3397
46,Joypurhat,246,51.97,61,57,0,81.69,281,428.48,426.31,338,428.48,508
47,Naogaon,4918,595.06,596,729,135,135.13,1511,1760.1,1769.87,2240,1895.1,1905
48,Natore,856,125.97,193,0,0,0,3751,2359.9,1385,3751,2359.9,1385
49,Chapai Nawabganj,160,73.26,75,0,0,0,176,183.64,192,176,183.64,192
50,Pabna,492,102.78,103,139,0,0,1148,1290.2,1300,1287,1290.2,1300
51,Rajshahi,774,151.28,305,0,0,0,955,1063.3,939,955,1063.3,939
52,Sirajganj,685,64.37,64,0,0,0,1147,1149.31,1138,1147,1149.31,1138
6,Rajshahi Division,10014,"1388.6
6",1621,925,135,216.82,11960,"11585.0
6","10547.1
8",12885,"11720.0
6",10764
53,Dinajpur,139,69.11,57,0,0,0,361,368,377,361,368,377
54,Gaibandha,88,17.54,17.36,0,0,0,58,54.43,60.49,58,54.43,60.49
55,Kurigram,7,1.47,8.42,0,0,0,4,4.69,23.63,4,4.69,23.63
56,Lalmonirhat,44,11.26,11.44,0,0,0,37,38.88,39.68,37,38.88,39.68
57,Nilphamari,20,4.33,3,0,0,0,18,16.84,17.63,18,16.84,17.63
58,Panchagar,3,4.08,2.28,0,0,0,0,0,0,0,0,0
59,Rangpur,252,21.63,22.16,0,0,0,373,404.82,404,373,404.82,404
60,Tahkurgaon,15,3.95,3.32,0,1.02,1.32,9,5.36,5.56,9,6.38,6.88
7,"Rangpur
Division",748,133.37,124.98,0,1.02,1.32,860,893.02,927.99,860,894.04,929.31
61,Habigonj,109,149.20,32.54,0,0,0,6,208.01,201.85,6,208.01,201.85
62,Moulvibazar,3,1.49,1.49,0,0,0,20,20.3,20.30,20,20.3,20.30
63,Sunamganj,82,85.50,86,763,0,0,18,606,605.03,781,606,605.03
64,Sylhet,0,0.20,0.20,0,0,0,0,4.88,5,0,4.88,5
8,Sylhet Division,194,236,120.23,763,0,0,44,839.19,832.18,807,839.19,832.18
BANGLADESH,,50313,"12207.
67","12708.
34",2516,645.05,905.64,70495,"78415.6
5","76051.7
6",73011,"79060.7
0","76957.4
0"
