SL No,Name of the Irrigation Instrument,Number of the Instrument by,,,
,,Electricity,Diesel,Others,Total
1,Deep tube-well,32659,467,-,33126
2,Shallow tube-well,409425,1060555,-,1469980
3,LLP,20783,184429,-,205212
4,"Others(Traditional like, Duone, Shauiti, Hand tube-well,etc)",-,-,-,3323
5,Tractor,71,,,71
6,Power-tillar,33,,,33
