District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,998,3169,770.79,569,587,370.66,1719,1978,1699.34,2288,2565,2070
2,Barishal,1229,1373,1433,138,163,159.85,3352,4657,4452.15,3490,4820,4612
3,Bhola,457,207.69,227.91,36,37.24,40.69,1433,1246.46,1349.91,1469,1284,1284
4,Jhallokati,367,436.37,362,43,55,39.45,907,1195,989.55,950,1250,1029
5,Patuakhali,1532,753.20,811.00,0,0,0,3800,3680,3324,3800,3680,3324
6,Pirojpur,567,438.25,65.46,332,337,340.66,1179,1180,1168.14,1511,1517,1508.80
1,Barishal Division,5150,6377.51,3670.16,1118,1179.24,951.31,12390,"13936.4
6","12983.0
9",13508,15115.7,"13934.4
0"
7,Bandarban,53,276.68,278.28,1260,1110,1128.45,900,523,511.83,2160,1633,1640.28
8,Brahmanbaria,38,176.82,171.92,119,109,121.50,450,1137,1178.53,569,1246,1300.03
9,Chandpur,172,102.17,156.55,64,190,195.55,1583,2418,2353.45,1647,2608,2549
10,Chattogram,11514,321.37,334.35,186,370,565.38,3134,3508,3711.62,3320,3878,4277
11,Cumilla,414,457.40,463.78,501,28,15.50,1397,2366,2689.46,1898,2394,2704.96
12,Cox’s Bazar,374,300.47,311.11,1248,1237,1187.58,1266,1108,1101.24,2514,2345,2288.82
13,Feni,98,495.36,96.51,115,105,106.03,473,446,449.04,588,551,555.07
14,Khagrachari,297,300.82,374.71,814,1121,834.11,1512,1312,1512.29,2326,2433,2346.40
15,Lakshmipur,0,95.52,136.3,0,60,94.25,3048,3894,4126.75,3048,3954,4221
16,Noakhali,220,190.92,197.47,0,0,75.57,1314,1486,1491.49,1314,1486,1567.06
17,Rangamati,479,498.21,503.04,4836,4568,4857.96,2950,3114,3035.26,7786,7682,7893.22
2,"Chattogram
Division",13659,3215.74,3024.02,9143,8898,9181.88,18027,21312,"22160.9
6",27170,30210,"31342.8
4"
18,Dhaka,113,118,104.47,966,907,981.92,1584,1592,1561.08,2550,2499,2543
19,Faridpur,475,473,442,487,409,639.53,2914,12280,2664.47,3401,12689,3304
20,Gazipur,148,2715,173,2588,2564,3040.41,925,976,1061.59,3513,3540,4102
21,Gopalganj,518,464,519.78,0,0,0,2227,2129,2269,2227,2129,2269
22,Kishoreganj,85,108,99.33,1991,2047,1993.28,1725,2048,2044.72,3716,4095,4038
23,Madaripur,516,252,240,206,421,452.20,1840,1791,1998.80,2046,2212,2451
24,Manikganj,348,181,190,1138,0,0,2123,2599,2621,3261,2599,2621
