District name,Oct-2021,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food
(in TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,-,,,-,,,-,,,-,,,-,,,-,,,421,,,264,,
Khagrachari,450,,,293,,,-,,,-,,,-,,,-,,,460,,,300,,
Rangamati,382,,,263,,,313,,,234,,,-,,,-,,,480,,,328,,
Chattogram,540,,,424,,,495,,,367,,,498,,,348,,,572,,,430,,
Cox’sbazar,594,,,388,,,565,,,370,,,453,,,-,,,639,,,463,,
Cumilla,411,,,362,,,378,,,317,,,372,,,-,,,370,,,-,,
Chandpur,-,,,-,,,-,,,-,,,-,,,-,,,472,,,-,,
Brahmmanbaria,350,,,301,,,347,,,-,,,-,,,-,,,408,,,316,,
Noakhali,531,,,-,,,600,,,-,,,525,,,-,,,605,,,-,,
Lakshmipur,-,,,-,,,-,,,-,,,-,,,-,,,410,,,-,,
Feni,-,,,-,,,525,,,-,,,460,,,-,,,575,,,-,,
"Chattogram
Division",465,,,338,,,460,,,322,,,462,,,348,,,492,,,350,,
Sylhet,417,,,350,,,393,,,-,,,375,,,-,,,429,,,300,,
Maulavi Bazar,386,,,287,,,393,,,338,,,-,,,-,,,426,,,340,,
Sunamganj,353,,,300,,,-,,,-,,,-,,,-,,,393,,,329,,
Habiganj,431,,,338,,,-,,,-,,,-,,,-,,,416,,,297,,
Sylhet Division,397,,,319,,,393,,,338,,,375,,,-,,,416,,,317,,
Dhaka,552,,,400,,,450,,,350,,,425,,,350,,,533,,,450,,
Gazipur,465,,,308,,,-,,,-,,,487,,,390,,,570,,,450,,
Manikganj,460,,,400,,,428,,,307,,,400,,,302,,,502,,,445,,
Munshiganj,450,,,-,,,-,,,-,,,438,,,-,,,527,,,325,,
Narayanganj,435,,,375,,,423,,,350,,,375,,,325,,,483,,,417,,
Narsingdi,-,,,-,,,389,,,300,,,476,,,-,,,510,,,-,,
Faridpur,448,,,-,,,-,,,-,,,550,,,-,,,600,,,-,,
Rajbari,402,,,320,,,350,,,250,,,310,,,225,,,536,,,350,,
Madaripur,392,,,250,,,450,,,-,,,400,,,-,,,398,,,325,,
Gopalganj,450,,,400,,,450,,,-,,,367,,,-,,,460,,,250,,
Shariatpur,375,,,300,,,-,,,-,,,325,,,-,,,425,,,350,,
Tangail,490,,,435,,,460,,,395,,,445,,,365,,,510,,,430,,
Kishoreganj,394,,,300,,,426,,,-,,,407,,,-,,,452,,,350,,
Dhaka Division,443,,,349,,,425,,,325,,,416,,,326,,,500,,,377,,
Mymensing,,421,,,270,,,454,,,240,,,498,,,-,,,482,,,310,
Jamalpur,,421,,,-,,,398,,,-,,,417,,,-,,,485,,,-,
Sherpur,,440,,,-,,,454,,,-,,,493,,,-,,,499,,,-,
Netrokona,,362,,,268,,,417,,,294,,,-,,,,,,471,,,364,
"Mymensing
Division",411,,,269,,,431,,,267,,,469,,,-,,,484,,,337,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,500,420,450,400,-,-,520,450
Jhalokathi,490,430,-,-,-,-,549,-
Perojpur,510,350,480,400,413,320,567,360
Bhola,480,-,450,-,-,-,520,440
Patuakhali,520,-,490,-,400,-,550,-
Barguna,550,-,500,-,-,-,560,450
Barishal Division,508,400,474,400,407,320,544,425
Jashore,-,-,-,-,-,-,311,252
Jhenaidah,330,238,320,228,345,233,353,263
Magura,356,-,237,-,288,-,400,-
Narail,340,-,-,-,362,-,426,358
Khulna,-,-,-,-,-,-,400,323
Bagerhat,343,300,416,-,459,458,445,310
Satkhira,-,-,-,-,-,-,392,315
Kushtia,376,350,-,-,-,-,444,400
Chuadanga,300,-,-,-,-,-,313,-
Meherpur,350,-,-,-,-,-,389,-
Khulna Division,342,296,324,228,363,346,387,317
Rajshahi,404,348,403,319,465,390,449,390
Naogaon,310,252,328,282,382,322,332,262
Natore,314,233,312,-,-,-,358,275
Chapai Nawabganj,332,350,369,350,380,350,400,278
Bogura,346,-,357,-,411,-,400,-
Joypurhat,300,250,375,320,-,-,370,285
Pabna,450,300,-,-,-,-,480,325
Sirajganj,-,-,-,-,-,-,350,250
Rajshahi Division,351,290,353,300,400,352,392,298
Rangpur,340,230,-,-,-,-,375,240
Gaibandha,-,-,-,-,-,-,334,283
Kurigram,318,215,-,-,-,-,333,225
Nilphamari,384,243,-,-,-,-,348,250
Lalmonirhat,313,206,375,275,-,-,330,230
Dinajpur,340,287,-,-,-,-,380,287
Thakurgaon,333,275,-,-,-,-,340,277
Panchagar,345,262,-,-,-,-,364,275
Rangpur Division,339,256,375,275,-,-,351,267
BANGLADESH,409,314,417,318,419,337,446,331
